fullName,Player_learned_embedding,Total_Runs_Scored_per_match,Total_Runs_Scored_per_T20_match,strike_rate_Global,strike_rate_T20,avg_fours_per_T20_match,avg_sixes_per_T20_match,avg_fantasy_point_scored_in_T20_match,Balls_Played,Avg_Balls_Thrown_per_T20_match,avg_dot_balls_per_T20_match,avg_median_overs_per_T20_match,avg_run_conceded_per_T20,avg_wickets_taken_per_match,avg_economyRate_per_match,avg_fielding_FP,total_centuries,total_halftcenturies
Abhishek Sharma,,19.844444444444445,19.844444444444445,116.77866666666667,116.77866666666667,2.0444444444444443,0.6888888888888889,35.787234042553195,14.444444444444445,10.363636363636363,2.909090909090909,1.0,15.363636363636363,0.4090909090909091,9.272272727272728,7.818181818181818,0.0,4.0
Abishek Porel,,8.25,8.25,88.85249999999999,88.85249999999999,0.25,0.5,23.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,0.0,0.0
Abrar Kazi,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,2.0,21.0,0.0,10.5,0.0,0.0,0.0
Abu Nechim,,6.0,6.0,190.9333333333333,190.9333333333333,0.6666666666666666,0.16666666666666666,24.823529411764707,4.333333333333333,20.235294117647058,7.705882352941177,4.0,29.294117647058822,0.7058823529411765,8.72529411764706,0.0,0.0,0.0
Adam Gilchrist,,25.8625,25.8625,118.646875,118.646875,2.9875,1.15,48.2125,18.6875,1.0,1.0,0.1,0.0,1.0,0.0,15.791666666666666,2.0,11.0
Adam Milne,,3.8333333333333335,3.8333333333333335,54.85999999999999,54.85999999999999,0.0,0.16666666666666666,29.4,4.833333333333333,20.7,7.7,4.0,32.7,0.7,9.701,9.333333333333334,0.0,0.0
Adam Voges,,25.857142857142858,25.857142857142858,124.40714285714286,124.40714285714286,2.142857142857143,0.42857142857142855,35.75,20.428571428571427,7.714285714285714,2.142857142857143,1.0,10.857142857142858,0.0,9.357142857142858,6.5,0.0,0.0
Adam Zampa,,3.0,3.0,56.504,56.504,0.2,0.0,44.95,4.8,20.95,6.65,4.0,27.9,1.45,8.102500000000001,8.0,0.0,0.0
Adil Rashid,,11.0,11.0,135.895,135.895,1.0,0.5,34.0,8.0,20.0,6.666666666666667,3.0,30.333333333333332,0.6666666666666666,9.19,0.0,0.0,0.0
Aditya Dole,,17.0,17.0,133.32999999999998,133.32999999999998,1.5,0.5,70.0,11.0,22.0,7.0,4.0,37.333333333333336,1.6666666666666667,10.276666666666666,8.0,0.0,0.0
Aditya Tare,,12.107142857142858,12.107142857142858,114.59178571428572,114.59178571428572,1.4285714285714286,0.39285714285714285,20.766666666666666,9.75,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
Adrian Barath,,14.0,14.0,77.40666666666667,77.40666666666667,1.6666666666666667,0.3333333333333333,21.666666666666668,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aiden Blizzard,,17.142857142857142,17.142857142857142,98.00571428571428,98.00571428571428,3.0,0.2857142857142857,32.714285714285715,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0
Aiden Markram,,25.0,25.0,122.82032258064515,122.82032258064515,1.7741935483870968,1.0,40.42424242424242,19.032258064516128,9.818181818181818,2.6363636363636362,1.0,14.181818181818182,0.18181818181818182,8.818181818181818,13.333333333333334,0.0,4.0
Ajantha Mendis,,1.0,1.0,50.0,50.0,0.0,0.0,28.9,2.0,24.0,7.9,4.0,28.5,0.8,7.125,8.0,0.0,0.0
Ajinkya Rahane,,27.67295597484277,27.67295597484277,105.01641509433962,105.01641509433962,2.861635220125786,0.6037735849056604,42.28395061728395,22.42138364779874,6.0,2.0,1.0,5.0,1.0,5.0,9.876923076923077,2.0,30.0
Ajit  Chandila,,2.0,2.0,33.33,33.33,0.0,0.0,35.083333333333336,3.5,19.5,8.75,3.5,20.166666666666668,0.9166666666666666,6.4433333333333325,8.0,0.0,0.0
Ajit Agarkar,,8.136363636363637,8.136363636363637,98.945,98.945,0.5909090909090909,0.22727272727272727,28.071428571428573,7.0,18.61904761904762,6.5,3.1,27.404761904761905,0.6904761904761905,9.067142857142857,7.142857142857143,0.0,0.0
Akash Deep,,8.5,8.5,106.25,106.25,1.0,0.5,32.42857142857143,5.0,20.428571428571427,7.285714285714286,3.5,37.714285714285715,0.8571428571428571,11.364285714285714,8.0,0.0,0.0
Akash Madhwal,,0.0,0.0,0.0,0.0,0.0,0.0,58.75,0.0,19.125,6.625,3.65,27.375,1.75,8.34375,6.0,0.0,0.0
Akash Singh,,0.0,0.0,0.0,0.0,0.0,0.0,23.571428571428573,0.0,19.714285714285715,7.571428571428571,3.0,32.42857142857143,0.7142857142857143,10.282857142857143,8.0,0.0,0.0
Akeal Hosein,,16.0,16.0,160.0,160.0,1.0,1.0,50.0,10.0,24.0,6.0,4.0,40.0,1.0,10.0,0.0,0.0,0.0
Akila Dananjaya,,4.0,4.0,80.0,80.0,0.0,0.0,4.0,5.0,24.0,6.0,4.0,47.0,0.0,11.75,0.0,0.0,0.0
Akshath Reddy,,14.909090909090908,14.909090909090908,83.53454545454545,83.53454545454545,1.3636363636363635,0.18181818181818182,23.181818181818183,14.545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Akshdeep Nath,,9.0,9.0,75.28200000000001,75.28200000000001,0.7,0.2,15.3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Albie Morkel,,14.323529411764707,14.323529411764707,135.1545588235294,135.1545588235294,0.8970588235294118,0.8088235294117647,46.355555555555554,10.088235294117647,19.804597701149426,7.850574712643678,3.0,27.114942528735632,0.9770114942528736,8.342758620689656,9.68421052631579,0.0,3.0
Alex Carey,,10.666666666666666,10.666666666666666,106.79333333333334,106.79333333333334,0.0,0.3333333333333333,20.666666666666668,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Alex Hales,,24.666666666666668,24.666666666666668,112.82,112.82,2.1666666666666665,1.0,38.833333333333336,19.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Alfonso Thomas,,5.0,5.0,74.9975,74.9975,0.25,0.25,34.6,4.75,21.0,8.866666666666667,4.0,27.066666666666666,0.9333333333333333,7.839333333333333,9.0,0.0,0.0
Ali Murtaza,,3.3333333333333335,3.3333333333333335,75.0,75.0,0.3333333333333333,0.0,30.666666666666668,4.666666666666667,22.0,8.833333333333334,4.0,26.083333333333332,0.75,7.6875,7.5,0.0,0.0
Alzarri Joseph,,3.857142857142857,3.857142857142857,50.529999999999994,50.529999999999994,0.42857142857142855,0.0,37.473684210526315,4.571428571428571,19.789473684210527,8.105263157894736,4.0,30.31578947368421,1.0526315789473684,9.23263157894737,10.5,0.0,0.0
Aman Hakim Khan,,11.5,11.5,107.58699999999999,107.58699999999999,0.8,0.6,23.90909090909091,10.4,6.0,1.0,1.0,13.0,0.0,13.0,9.0,0.0,1.0
