Season,Teams,Date,Stadium,Time
IPL 2008,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 2nd Semi-Final",N/A,"Wankhede Stadium, Mumbai",
IPL 2008,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, Final",N/A,"Dr DY Patil Sports Academy, Navi Mumbai",
IPL 2008,The Times of India,N/A,N/A,N/A
IPL 2008,The Times of India,N/A,N/A,N/A
IPL 2009,N/A,N/A,N/A,N/A
IPL 2009,N/A,N/A,N/A,N/A
IPL 2009,N/A,N/A,59 T20s   .  Apr 19  - May 23,N/A
IPL 2009,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 1st match",N/A,"Newlands, Cape Town",
IPL 2009,N/A,N/A,N/A,N/A
IPL 2009,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 1st match",N/A,"Newlands, Cape Town",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 2nd match",N/A,"Newlands, Cape Town",
IPL 2009,"DELHI CAPITALS vs PUNJAB KINGS, 3rd match",N/A,"Newlands, Cape Town",
IPL 2009,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 4th match",N/A,"Newlands, Cape Town",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 5th match",N/A,"St George's Park, Gqeberha",
IPL 2009,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 6th match",N/A,"Kingsmead, Durban",
IPL 2009,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 7th match",N/A,"Kingsmead, Durban",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 8th match",N/A,"Newlands, Cape Town",
IPL 2009,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 9th match",N/A,"Kingsmead, Durban",
IPL 2009,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 10th match",N/A,"Newlands, Cape Town",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 11th match",N/A,"Kingsmead, Durban",
IPL 2009,"DECCAN CHARGERS vs MUMBAI INDIANS, 12th match",N/A,"Kingsmead, Durban",
IPL 2009,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 13th match",N/A,"Newlands, Cape Town",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 14th match",N/A,"St George's Park, Gqeberha",
IPL 2009,"PUNJAB KINGS vs RAJASTHAN ROYALS, 15th match",N/A,"Newlands, Cape Town",
IPL 2009,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 16th match",N/A,"Kingsmead, Durban",
IPL 2009,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 17th match",N/A,"St George's Park, Gqeberha",
IPL 2009,"DELHI CAPITALS vs RAJASTHAN ROYALS, 18th match",N/A,"SuperSport Park, Centurion",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 19th match",N/A,"Kingsmead, Durban",
IPL 2009,"PUNJAB KINGS vs MUMBAI INDIANS, 20th match",N/A,"Kingsmead, Durban",
IPL 2009,"DECCAN CHARGERS vs DELHI CAPITALS, 21st match",N/A,"SuperSport Park, Centurion",
IPL 2009,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 22nd match",N/A,"SuperSport Park, Centurion",
IPL 2009,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 23rd match",N/A,"Buffalo Park, East London",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 24th match",N/A,"Kingsmead, Durban",
IPL 2009,"DECCAN CHARGERS vs RAJASTHAN ROYALS, 25th match",N/A,"St George's Park, Gqeberha",
IPL 2009,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 26th match",N/A,"The Wanderers Stadium, Johannesburg",
IPL 2009,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 27th match",N/A,"St George's Park, Gqeberha",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 28th match",N/A,"The Wanderers Stadium, Johannesburg",
IPL 2009,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 29th match",N/A,"Buffalo Park, East London",
IPL 2009,"PUNJAB KINGS vs RAJASTHAN ROYALS, 30th match",N/A,"Kingsmead, Durban",
IPL 2009,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 31st match",N/A,"Kingsmead, Durban",
IPL 2009,"DECCAN CHARGERS vs MUMBAI INDIANS, 32nd match",N/A,"SuperSport Park, Centurion",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 33rd match",N/A,"SuperSport Park, Centurion",
