venue_id,venue_long,venue_lat,venue_name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
3400,0,0,"Greenfield International Stadium, Thiruvananthapuram",17,1903,216,39,122,14
508,28.057131,-26.131367,"New Wanderers Stadium, Johannesburg",60,8721,743,150,452,56
902,28.19549,-25.860279,"SuperSport Park, Centurion",60,8691,697,120,447,40
174,18.468786,-33.973419,"Newlands, Cape Town",41,5703,496,77,317,35
442,85.868484,20.481144,"Barabati Stadium, Cuttack",34,4588,441,94,249,32
1055,75.879837,22.724623,"Holkar Cricket Stadium, Indore",53,7534,635,110,395,39
713,72.82579,18.939007,"Wankhede Stadium, Mumbai",157,24432,1871,288,1229,133
237,0,0,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",25,3578,330,53,233,12
2025,0,0,"Shere Bangla National Stadium, Mirpur",318,42836,4171,737,2442,321
1564,91.868729,24.921228,Sylhet International Cricket Stadium,71,10448,882,157,526,69
487,67.081383,24.896053,"National Stadium, Karachi",11,1777,131,30,75,8
974,-6.160244,53.448883,"The Village, Malahide, Dublin",22,2924,301,60,168,18
10,-0.172188,51.529827,"Lord's, London",55,7961,700,140,446,45
1936,0,0,"Hazelaarweg, Rotterdam",8,1034,118,32,65,4
1123,,,"Sportpark Het Schootsveld, Deventer",10,1272,119,27,62,11
1122,0,0,"VRA Ground, Amstelveen",10,1163,114,37,52,9
931,27.919361,-33.006779,"Buffalo Park, East London",22,2739,230,56,138,16
950,153.367126,-28.005657,Carrara Oval,20,2818,269,39,186,19
209,153.038071,-27.485596,"Brisbane Cricket Ground, Woolloongabba, Brisbane",71,10608,908,129,636,40
576,-62.722027,17.298466,"Warner Park, Basseterre, St Kitts",97,13650,1186,187,821,69
292,88.343315,22.564608,"Eden Gardens, Kolkata",128,19206,1544,259,974,104
3355,0,0,"Ekana International Cricket Stadium, Lucknow",24,3376,291,41,176,23
291,80.279449,13.062788,"MA Chidambaram Stadium, Chepauk, Chennai",88,13115,1075,152,700,55
1697,-60.931835,14.070733,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia",68,9463,805,127,536,42
2837,0,0,"Sheikh Zayed Stadium Nursery 2, Abu Dhabi",8,969,108,29,45,4
1896,83.351913,17.797489,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",42,6009,526,81,344,27
2569,55.227661,25.036665,"ICC Global Cricket Academy, Dubai",47,5941,621,107,396,54
3389,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),92,12431,1183,230,704,111
2623,0,0,"Amini Park, Port Moresby",17,1747,201,35,130,8
