Match_number,team1,team2,Date,Time,Venue
61,Punjab Kings,Mumbai Indians,11 May 2025,10:00 AM GMT / 03:30 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
62,Delhi Capitals,Gujarat Titans,11 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"Arun Jaitley Stadium, Delhi"
63,Chennai Super Kings,Rajasthan Royals,12 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"MA Chidambaram Stadium, Chennai"
64,Royal Challengers Bengaluru,Sunrisers Hyderabad,13 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru"
65,Gujarat Titans,Lucknow Super Giants,14 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"Narendra Modi Stadium, Ahmedabad"
66,Mumbai Indians,Delhi Capitals,15 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"Wankhede Stadium, Mumbai"
67,Rajasthan Royals,Punjab Kings,16 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"Sawai Mansingh Stadium, Jaipur"
68,Royal Challengers Bengaluru,Kolkata Knight Riders,17 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru"
69,Gujarat Titans,Chennai Super Kings,18 May 2025,10:00 AM GMT / 03:30 PM LOCAL,"Narendra Modi Stadium, Ahmedabad"
70,Lucknow Super Giants,Sunrisers Hyderabad,18 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
71,,,20 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad"
72,,,21 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad"
73,,,23 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"Eden Gardens, Kolkata"
74,,,25 May 2025,02:00 PM GMT / 07:30 PM LOCAL,"Eden Gardens, Kolkata"
