Match_number,team1,team2,Date,Time,Venue
20,Royal Challengers Bengaluru,Mumbai Indians,07 April 2025,02:00 PM GMT / 07:30 PM LOCAL,Wankhede Stadium, Mumbai
21,Lucknow Super Giants,Kolkata Knight Riders,08 April 2025,10:00 AM GMT / 03:30 PM LOCAL,Eden Gardens, Kolkata
22,Punjab Kings,Chennai Super Kings,08 April 2025,02:00 PM GMT / 07:30 PM LOCAL,Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur
23,Gujarat Titans,Rajasthan Royals,09 April 2025,02:00 PM GMT / 07:30 PM LOCAL,Narendra Modi Stadium, Ahmedabad
24,Royal Challengers Bengaluru,Delhi Capitals,10 April 2025,02:00 PM GMT / 07:30 PM LOCAL,M Chinnaswamy Stadium, Bengaluru
25,Chennai Super Kings,Kolkata Knight Riders,11 April 2025,02:00 PM GMT / 07:30 PM LOCAL,MA Chidambaram Stadium, Chennai
26,Gujarat Titans,Lucknow Super Giants,12 April 2025,10:00 AM GMT / 03:30 PM LOCAL,BRSABV Ekana Cricket Stadium, Lucknow
27,Punjab Kings,Sunrisers Hyderabad,12 April 2025,02:00 PM GMT / 07:30 PM LOCAL,Rajiv Gandhi International Cricket Stadium, Hyderabad
28,Rajasthan Royals,Royal Challengers Bengaluru,13 April 2025,10:00 AM GMT / 03:30 PM LOCAL,Sawai Mansingh Stadium, Jaipur
29,Mumbai Indians,Delhi Capitals,13 April 2025,02:00 PM GMT / 07:30 PM LOCAL,Arun Jaitley Stadium, Delhi
30,Lucknow Super Giants,Chennai Super Kings,14 April 2025,02:00 PM GMT / 07:30 PM LOCAL,BRSABV Ekana Cricket Stadium, Lucknow
31,Punjab Kings,Kolkata Knight Riders,15 April 2025,02:00 PM GMT / 07:30 PM LOCAL,Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur
32,Delhi Capitals,Rajasthan Royals,16 April 2025,02:00 PM GMT / 07:30 PM LOCAL,Arun Jaitley Stadium, Delhi
33,Sunrisers Hyderabad,Mumbai Indians,17 April 2025,02:00 PM GMT / 07:30 PM LOCAL,Wankhede Stadium, Mumbai
34,Royal Challengers Bengaluru,Punjab Kings,18 April 2025,02:00 PM GMT / 07:30 PM LOCAL,M Chinnaswamy Stadium, Bengaluru
35,Gujarat Titans,Delhi Capitals,Apr 19,10:00 AM GMT / 03:30 PM LOCAL,Narendra Modi Stadium, Ahmedabad
36,Rajasthan Royals,Lucknow Super Giants,Apr 19,02:00 PM GMT / 07:30 PM LOCAL,Sawai Mansingh Stadium, Jaipur
37,Punjab Kings,Royal Challengers Bengaluru,Apr 20,10:00 AM GMT / 03:30 PM LOCAL,Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur
38,Mumbai Indians,Chennai Super Kings,Apr 20,02:00 PM GMT / 07:30 PM LOCAL,Wankhede Stadium, Mumbai
39,Kolkata Knight Riders,Gujarat Titans,Apr 21,02:00 PM GMT / 07:30 PM LOCAL,Eden Gardens, Kolkata
40,Lucknow Super Giants,Delhi Capitals,Apr 22,02:00 PM GMT / 07:30 PM LOCAL,BRSABV Ekana Cricket Stadium, Lucknow
41,Sunrisers Hyderabad,Mumbai Indians,Apr 23,02:00 PM GMT / 07:30 PM LOCAL,Rajiv Gandhi International Cricket Stadium, Hyderabad
42,Royal Challengers Bengaluru,Rajasthan Royals,Apr 24,02:00 PM GMT / 07:30 PM LOCAL,M Chinnaswamy Stadium, Bengaluru
43,Chennai Super Kings,Sunrisers Hyderabad,Apr 25,02:00 PM GMT / 07:30 PM LOCAL,MA Chidambaram Stadium, Chennai
44,Kolkata Knight Riders,Punjab Kings,Apr 26,02:00 PM GMT / 07:30 PM LOCAL,Eden Gardens, Kolkata
45,Mumbai Indians,Lucknow Super Giants,Apr 27,10:00 AM GMT / 03:30 PM LOCAL,Wankhede Stadium, Mumbai
46,Delhi Capitals,Royal Challengers Bengaluru,Apr 27,02:00 PM GMT / 07:30 PM LOCAL,Arun Jaitley Stadium, Delhi
47,Rajasthan Royals,Gujarat Titans,Apr 28,02:00 PM GMT / 07:30 PM LOCAL,Sawai Mansingh Stadium, Jaipur
48,Delhi Capitals,Kolkata Knight Riders,Apr 29,02:00 PM GMT / 07:30 PM LOCAL,Arun Jaitley Stadium, Delhi
