match_id,match_number,team1,team2,toss_winner,toss_decision,winner,venue_id,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets,precipitation,temperature_2m,relative_humidity_2m,dew_point_2m,rain,wind_speed_100m
1023581,0.0,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Sixers,2967,0.11356466876971609,0.11129296235679215,0.10444177671068428,0.10733695652173912,0.11525840853158327,0.1059190031152648,0.0,0.6787849234062165,0.5152072554239291,0.7323454304042603,0.0,0.20811839705717963
1023583,0.007633587786259542,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,field,Brisbane Heat,131,0.28075709779179814,0.31631985036240357,0.2590636254501801,0.28532608695652173,0.29327317473338804,0.2367601246105919,0.0,0.5087018912913261,0.6451949554448178,0.6355238771742244,0.0,0.4552919395336053
1023585,0.015267175572519085,Melbourne Renegades,Sydney Thunder,Sydney Thunder,field,Melbourne Renegades,1177,0.21451104100946372,0.233832125321487,0.20336134453781513,0.20380434782608695,0.22641509433962265,0.16199376947040497,0.0,0.4780911725578797,0.7593300617550371,0.6542925958717438,0.0,0.34345937046788855
1023587,0.022900763358778626,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,field,Hobart Hurricanes,132,0.2586750788643533,0.2685293429974281,0.24465786314525811,0.2418478260869565,0.2719442165709598,0.18691588785046728,0.0,0.5935057623487893,0.7056641511017125,0.7449761130888848,0.0,0.41611090459831684
1023589,0.03053435114503817,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,field,Perth Scorchers,213,0.11041009463722398,0.11643675473462707,0.09963985594237695,0.08016304347826086,0.11484823625922888,0.056074766355140186,0.0,0.6495798697913879,0.49154418553138984,0.6840511455683701,0.0,0.6012332590403788
1023591,0.03816793893129771,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,bat,Melbourne Stars,905,0.24605678233438485,0.2722235211596914,0.23241296518607443,0.22554347826086954,0.2698933552091879,0.17445482866043613,0.0,0.4709719351116057,0.7448422468071844,0.6414897431791535,0.0,0.4178486829161926
1023593,0.04580152671755725,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Sixers,132,0.2586750788643533,0.2685293429974281,0.24465786314525811,0.2418478260869565,0.2719442165709598,0.18691588785046728,0.0,0.6274839006194297,0.7912587795519396,0.81304189195637,0.0,0.350273565650218
1023595,0.05343511450381679,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,2967,0.11356466876971609,0.11129296235679215,0.10444177671068428,0.10733695652173912,0.11525840853158327,0.1059190031152648,0.0,0.680605182980548,0.6524698024346767,0.8050705360563244,0.0,0.4778883397682495
1023597,0.06106870229007634,Melbourne Renegades,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,1177,0.21451104100946372,0.233832125321487,0.20336134453781513,0.20380434782608695,0.22641509433962265,0.16199376947040497,0.3630137062685795,0.6057116140500005,0.9557466488141151,0.8507920957467098,0.3630137062685795,0.320401777721118
1023599,0.06870229007633588,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,field,Brisbane Heat,209,0.22082018927444794,0.246481178396072,0.21656662665066026,0.17391304347826086,0.25922887612797374,0.12461059190031153,0.0,0.6799276419167691,0.8169271109033178,0.8734705666159421,0.0,0.44610198139201374
1023601,0.07633587786259542,Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Adelaide Strikers,131,0.28075709779179814,0.31631985036240357,0.2590636254501801,0.28532608695652173,0.29327317473338804,0.2367601246105919,0.0,0.5577983370323212,0.743608032591202,0.7250121711133346,0.0,0.25862409260943814
1023603,0.08396946564885496,Melbourne Stars,Melbourne Renegades,Melbourne Stars,field,Melbourne Renegades,61,0.277602523659306,0.2924245966799158,0.26482593037214885,0.2323369565217391,0.2940935192780968,0.17445482866043613,0.023972605538025802,0.5087929042700428,0.8106453687225532,0.7046937197673409,0.023972605538025802,0.43504474178187635
1023605,0.0916030534351145,Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Perth Scorchers,213,0.11041009463722398,0.11643675473462707,0.09963985594237695,0.08016304347826086,0.11484823625922888,0.056074766355140186,0.0,0.6242479644988217,0.5500953521218673,0.6971679922747818,0.0,0.4735300055438016
