Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
St Kitts and Nevis Patriots,DC Thomas,08a4f9ad,1,1,2,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,8,9
St Kitts and Nevis Patriots,E Lewis,0ebfb1ad,2,46,22,3,5,209.09,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,98,0,0,98
St Kitts and Nevis Patriots,LJ Evans,1c513d54,3,15,16,3,0,93.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,27,0,0,27
St Kitts and Nevis Patriots,Mohammad Hafeez,9ab63e7b,4,7,12,0,0,58.33,"[8, 10]",2.0,12,1,0,25,0,3,0,0,0,0,0,12.5,0,0,0,0,-4,3,-5,0,-2
St Kitts and Nevis Patriots,CR Brathwaite,e342e5fb,5,81,35,7,6,231.43,"[1, 4, 6, 17, 19]",5.0,30,12,0,53,6,3,3,0,0,0,2,10.6,0,0,0,0,6,163,89,0,252
St Kitts and Nevis Patriots,SSJ Brooks,977b841a,6,20,18,1,0,111.11,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,24,0,16,40
St Kitts and Nevis Patriots,FA Allen,b52ffbbd,7,12,8,1,1,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22,0,0,22
St Kitts and Nevis Patriots,RR Emrit,e7de4f6b,8,21,10,1,2,210.0,"[5, 7, 16, 18]",4.0,24,4,0,48,7,1,0,0,0,0,1,12.0,0,0,0,0,6,43,0,0,43
St Kitts and Nevis Patriots,AS Joseph,b0946605,9,7,3,1,0,233.33,"[9, 11, 13, 15]",4.0,24,13,0,25,0,2,1,0,0,0,3,6.25,0,0,0,0,0,11,40,0,51
St Kitts and Nevis Patriots,Akeem Jordan,77bf0483,10,0,0,0,0,0.0,"[1, 3]",2.0,12,5,0,28,2,2,0,0,0,1,2,14.0,1,0,0,0,0,0,-1,8,7
St Kitts and Nevis Patriots,SS Cottrell,a1d053dd,11,0,0,0,0,0.0,"[2, 12, 14, 20]",4.0,24,7,0,40,6,1,1,0,0,0,1,10.0,1,0,0,0,0,0,30,8,38
Trinbago Knight Riders,LMP Simmons,89f64c19,1,91,45,9,6,202.22,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,181,0,0,181
Trinbago Knight Riders,M Deyal,7183799b,2,21,10,2,2,210.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,47,0,8,55
Trinbago Knight Riders,C Munro,af2c687b,3,28,24,2,1,116.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,46,0,0,46
Trinbago Knight Riders,KA Pollard,a757b0d8,4,23,20,3,1,115.0,"[16, 18]",2.0,12,4,0,28,0,3,1,0,0,0,4,14.0,3,0,0,0,0,41,23,28,92
Trinbago Knight Riders,DM Bravo,14b14cd8,5,24,14,1,2,171.43,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,6,46,0,28,74
Trinbago Knight Riders,JDS Neesham,9219eff0,6,22,13,4,0,169.23,"[4, 13, 15, 20]",4.0,24,3,0,68,9,3,0,0,0,1,1,17.0,0,0,0,0,4,42,-3,0,39
Trinbago Knight Riders,D Ramdin,d1523761,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
Trinbago Knight Riders,S Prasanna,f78e7113,8,0,0,0,0,0.0,"[10, 12]",2.0,12,2,0,24,1,2,0,0,0,0,0,12.0,0,0,0,0,0,0,-2,0,-2
Trinbago Knight Riders,K Pierre,a61bcb94,9,0,0,0,0,0.0,"[1, 7, 9, 11]",4.0,24,12,0,25,1,0,1,0,0,0,6,6.25,0,0,0,0,0,0,39,0,39
Trinbago Knight Riders,A Phillip,f2665768,10,0,0,0,0,0.0,"[2, 6, 8, 14]",4.0,24,12,0,38,2,3,3,0,0,0,4,9.5,0,0,0,0,0,0,91,0,91
Trinbago Knight Riders,Ali Khan,b0eaaac6,11,0,0,0,0,0.0,"[1, 3, 5, 17, 19]",5.0,30,13,0,45,4,3,2,0,0,0,2,9.0,0,0,0,0,0,0,63,0,63
