player_id,name,matches,strike rate in all matches combined,Total Runs Scored in all matches combined,no. of fours,no. of sixes,highest runs scored in a match,Balls Played till now,no. of dot_balls,maiden_overs,run conceded,Average Economy Rate,no. of wickets,no. of balls thrown,highest wickets taken in a match,total centuries,total halfcenturies,total catches,total stumps,total direct_runouts,total indirect_runouts,total avg fp
2e171977,AR Patel,67,126.682,523,39,23,65,378,480,1,1505,7.947,66,1201,3,0,1,22,0,1,5,52.254
b17e2f24,KL Rahul,69,0.0,2149,181,96,110,1537,0,0,0,0.0,0,0,0,2,22,23,1,1,0,57.984
26d041c4,Sikandar Raza,89,107.186,2033,151,105,133,1487,500,3,1563,7.401,75,1364,5,1,14,34,0,2,6,75.685
57ee1fde,YS Chahal,80,,6,0,0,3,12,602,2,2430,8.275,96,1764,6,0,0,14,0,0,1,43.551
1e66c162,JD Unadkat,10,,0,0,0,0,0,88,0,306,8.677,14,208,3,0,0,3,0,0,0,48.0
d2a989fc,DS Kulkarni,2,,1,0,0,1,1,25,0,61,7.625,3,48,2,0,0,0,0,0,0,54.5
d8b2f218,BB Sran,2,,0,0,0,0,0,33,0,46,5.75,6,48,4,0,0,0,0,0,0,106.5
a1d3540a,PJ Moor,17,142.835,313,19,21,92,238,0,0,0,0.0,0,0,0,0,1,4,0,0,0,34.882
5bbabe59,TL Chatara,53,,23,1,0,6,49,514,3,1389,7.717,57,1131,3,0,0,7,0,2,2,43.397
0fdabe05,V Sibanda,23,93.051,446,42,11,59,440,0,0,0,0.0,0,0,0,0,1,10,0,1,0,34.783
f55c526f,T Maruma,10,83.0,86,5,4,23,87,0,0,0,0.0,0,0,0,0,0,3,0,0,0,15.2
8919756f,Mosaddek Hossain,28,101.268,296,19,10,34,262,102,1,354,8.046,15,280,5,0,0,11,0,0,0,38.75
d365d463,Nurul Hasan,46,104.131,445,27,16,42,373,0,0,0,0.0,0,0,0,0,0,21,9,3,3,22.414
e84ac20c,MJ Henry,20,,12,2,0,10,10,193,1,614,8.389,25,438,3,0,0,4,0,1,0,45.599
0fa5042b,L Ronchi,33,,359,30,14,51,256,0,0,0,0.0,0,0,0,0,1,24,6,2,5,28.578
e186f49c,Mashrafe Mortaza,42,113.686,239,24,12,33,168,327,0,1205,8.127,30,889,2,0,0,7,0,0,3,39.714
3b041a12,Tamim Iqbal,64,110.437,1556,163,45,103,1254,0,0,0,0.0,0,0,0,1,8,15,0,0,0,43.247
d027ba9f,KS Williamson,91,114.939,2537,242,59,106,2038,34,0,164,0.0,6,118,2,1,18,43,0,1,3,52.363
7147f314,Sabbir Rahman,43,101.919,939,88,29,80,777,25,0,78,0.0,6,67,3,0,4,22,0,1,3,46.185
7dc35884,Shakib Al Hasan,108,104.668,2228,227,48,84,1815,886,2,2672,7.08,125,2276,5,0,12,29,0,3,2,79.139
0a8fce53,Mustafizur Rahman,98,,66,1,4,9,104,922,5,2719,7.838,126,2116,6,0,0,20,0,0,3,49.433
397f4d3a,BM Wheeler,6,,37,3,2,30,28,53,0,216,10.265,7,128,2,0,0,1,0,0,0,48.833
2f9d0389,LH Ferguson,42,,27,0,2,14,31,440,4,1085,7.307,63,895,5,0,0,12,0,0,0,58.713
af2c687b,C Munro,65,0.0,1729,133,107,109,1099,27,0,186,0.0,4,118,1,3,14,17,0,1,0,53.292
bf1d7d3e,Mahmudullah,124,110.848,2195,165,70,64,1833,261,1,994,0.0,32,788,3,0,8,40,0,1,2,40.842
8abdf100,CJ Anderson,42,109.777,697,40,35,94,551,158,0,602,0.0,16,432,2,0,3,21,0,1,0,45.736
5fbe14fc,Imrul Kayes,14,0.0,119,14,3,36,133,0,0,0,0.0,0,0,0,0,0,4,0,0,0,15.643
a354c917,NT Broom,11,99.763,73,8,1,36,68,0,0,0,0.0,0,0,0,0,0,4,0,0,0,13.545
e4a0deae,MJ Santner,107,,721,55,24,77,590,889,2,2633,7.349,120,2232,4,0,1,42,0,3,1,53.7
94d7f855,C de Grandhomme,41,109.368,505,27,30,59,363,87,0,465,8.616,12,321,2,0,3,20,0,0,1,34.781
f92c9151,TC Bruce,17,105.941,279,24,7,59,228,0,0,0,0.0,0,0,0,0,2,15,0,0,0,33.706
4d9f9686,Soumya Sarkar,83,0.0,1434,143,54,68,1157,66,0,416,9.573,12,270,2,0,5,43,0,2,2,39.014
f56cd097,Rubel Hossain,26,52.222,20,1,0,8,35,177,0,856,9.577,26,532,3,0,0,1,0,1,0,36.73
641ac5ff,IS Sodhi,118,,188,11,9,19,184,781,0,3227,8.308,137,2403,4,0,0,37,0,0,0,43.236
a818c1be,TA Boult,59,,55,3,2,16,57,615,3,1779,8.036,78,1341,4,0,0,22,0,1,0,52.881
9219eff0,JDS Neesham,78,133.641,944,72,51,48,609,226,0,1060,0.0,38,687,3,0,0,37,0,0,2,41.358
ef18b66e,Taskin Ahmed,69,,191,17,6,31,192,673,3,1869,8.125,77,1434,4,0,0,9,0,1,0,47.464
21e5f325,TA Blundell,9,,91,10,0,30,93,0,0,0,0.0,0,0,0,0,0,3,0,0,0,18.111
