,Team,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
0,Adelaide Strikers,69d03465,0.0,1.0,1.0,1.0,1.0,0.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,194,0,8,202
1,Adelaide Strikers,edc7ddb6,0.1,0.65,0.9454545454545454,0.41666666666666663,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,117,0,0,117
2,Adelaide Strikers,c995d726,0.20000000000000004,0.04,0.07272727272727272,0.0,0.0,0.5,0.25,0.25,0.18181818181818182,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0,4,2,0,6
3,Adelaide Strikers,8bdac857,0.30000000000000004,0.08,0.12727272727272726,0.08333333333333333,0.0,0.57145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12,0,8,20
4,Adelaide Strikers,c96a215f,0.4,0.04,0.03636363636363636,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0,8
5,Adelaide Strikers,97188292,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
6,Adelaide Strikers,0164b064,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5454545454545454,0.0,0.9523809523809523,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.7142857142857142,0.0,0.0,0.0,0.0,0,0,29,0,29
7,Adelaide Strikers,5f547c8b,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7272727272727273,0.0,0.8333333333333333,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,0.0,0,0,8,0,8
8,Adelaide Strikers,bd93fea4,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.2727272727272727,0.0,0.42857142857142855,0.0,0.0,0.3333333333333333,0.0,0.5,1.0,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0,0,38,0,38
9,Adelaide Strikers,b2a79f17,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7272727272727273,0.0,0.9523809523809523,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.7142857142857142,0.0,0.0,0.0,0.0,0,0,31,0,31
10,Adelaide Strikers,6834d1f2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5952380952380952,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.4464285714285714,0.0,0.0,0.0,0.0,0,0,13,0,13
11,Hobart Hurricanes,36eafb02,0.0,0.7000000000000001,0.9818181818181818,0.3333333333333333,0.75,0.64815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,112,0,0,112
12,Hobart Hurricanes,1a156c88,0.1,0.28,0.43636363636363634,0.16666666666666666,0.5,0.58335,0.75,0.75,0.7272727272727273,0.0,0.5952380952380952,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.595,0.0,0.0,0.0,0.0,0,52,8,0,60
13,Hobart Hurricanes,5056011d,0.20000000000000004,0.07,0.12727272727272726,0.08333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,11
