venue_name,city,venue_lat,venue_long
"Aurora Stadium, Launceston",Launceston,0.0,0.0
Perth Stadium,Perth,0.0,0.0
"Ted Summerton Reserve, Moe",Moe,0.0,0.0
"University of Tasmania Stadium, Launceston",Launceston,0.0,0.0
"North Sydney Oval, Sydney",Sydney,0.0,0.0
"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,0.0,0.0
"Brian Lara Stadium, Tarouba, Trinidad",Trinidad,0.0,0.0
"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,0.0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,0.0,0.0
"Barsapara Cricket Stadium, Guwahati",Guwahati,0.0,0.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,0.0,0.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,0.0,0.0
"Skarpnack 1, Stockholm",Stockholm,0.0,0.0
"Skarpnack 2, Stockholm",Stockholm,0.0,0.0
"Gymkhana Club Ground, Nairobi",Nairobi,0.0,0.0
Sano International Cricket Ground,,0.0,0.0
"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,0.0,0.0
Gahanga International Cricket Stadium. Rwanda,,0.0,0.0
"Albert Park 1, Suva",Suva,0.0,0.0
"Albert Park 2, Suva",Suva,0.0,0.0
"Sportpark Maarschalkerweerd, Utrecht",Utrecht,0.0,0.0
"Sportpark Westvliet, Voorburg",The Hague,0.0,0.0
"VRA Ground, Amstelveen",Amstelveen,0.0,0.0
"Hazelaarweg, Rotterdam",Rotterdam,0.0,0.0
"Church Street Park, Morrisville",Morrisville,0.0,0.0
"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,0.0,0.0
Hong Kong Cricket Club,,0.0,0.0
"UKM-YSD Cricket Oval, Bangi",Bangi,0.0,0.0
"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,0.0,0.0
"Botswana Cricket Association Oval 2, Gaborone",Gaborone,0.0,0.0
"Botswana Cricket Association Oval 1, Gaborone",Gaborone,0.0,0.0
"Friendship Oval, Dasmarinas",Dasmarinas,0.0,0.0
"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,0.0,0.0
"Sea Breeze Oval, Hamilton",Hamilton,0.0,0.0
"Sheikh Zayed Stadium Nursery 1, Abu Dhabi",Abu Dhabi,0.0,0.0
"ICC Academy Ground No 2, Dubai",Dubai,0.0,0.0
"ICC Academy Ground No 2, Dubai",Abu Dhabi,0.0,0.0
"Sheikh Zayed Stadium Nursery 2, Abu Dhabi",Abu Dhabi,0.0,0.0
