venue_name,city,venue_lat,venue_long
"Castle Avenue, Dublin",Dublin,53.3692788,-6.203237
Gucherre Cricket Ground,Albergaria,40.69318,-8.47994
"Gahanga International Cricket Stadium, Rwanda",Kigali City,-1.98658,30.06907
Kerava National Cricket Ground,Kerava,60.391243,25.1163573
Entebbe Cricket Oval,Entebbe,0.06444,32.44694
Happy Valley Ground,Episkopi,34.6722849,32.8214704
Gahanga International Cricket Stadium. Rwanda,Kigali City,-2.0295414,30.1071343
Integrated Polytechnic Regional Centre,Kigali City,-1.98658,30.06907
University of Lagos Cricket Oval,Lagos,6.5150095,3.3893947
"West End Park International Cricket Stadium, Doha",Doha,25.27932,51.52245
"Meersen, Gent",Ghent,51.047785,3.7815313
"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,50.71469,4.3991
Tikkurila Cricket Ground,Vantaa,60.29414,25.04099
Lisicji Jarak Cricket Ground,Belgrade,44.80401,20.46513
Vanuatu Cricket Ground,Port Vila,-17.73381,168.32188
Sano International Cricket Ground,Sano,36.31667,139.58333
"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,22.31935,114.17136
Santarem Cricket Ground,Albergaria,40.69318,-8.47994
Europa Sports Complex,Gibraltar,42.09504,-83.18965
"Solvangs Park, Glostrup",Copenhagen,55.67594,12.56553
"GB Oval, Szodliget",Szodliget,47.73259,19.14749
Zhejiang University of Technology Cricket Field,Hangzhou,30.29365,120.16142
Mulpani Cricket Ground,Kathmandu,27.718822,85.391339
Udayana Cricket Ground,Bali,-8.5,115.0
"Nassau County International Cricket Stadium, New York",New York,40.7299492,-73.5758444
University of Doha for Science and Technology,Doha,25.27932,51.52245
"Achimota Senior Secondary School A Field, Accra",Accra,5.55602,-0.1969
"Achimota Senior Secondary School B Field, Accra",Accra,5.55602,-0.1969
Prairie View Cricket Complex,Houston,29.76328,-95.36327
La Manga Club Top Ground,Murcia,37.98704,-1.13004
Los Reyes Polo Club,Guacima,9.9526271,-84.2671899
Dreux Sport Cricket Club,Dreux,48.73333,1.36667
Roma Cricket Ground,Spinaceto,41.933964,12.454297
"Simar Cricket Ground, Rome",Rome,41.89193,12.51133
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Gwalior,26.22983,78.17337
"Sikh Union Club Ground, Nairobi",Nairobi,-1.28333,36.81667
"Mladost Cricket Ground, Zagreb",Zagreb,45.81444,15.97798
"Faleata Oval No 2, Apia",Apia,-13.83333,-171.76666
"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,3.0478799,101.7133644
"YSD-UKM Cricket Oval, Bangi",Bangi,2.9347886,101.783381
Sao Fernando Polo and Cricket Club,Seropedica,-22.74389,-43.7075
Gelephu International Cricket Ground,Gelephu,26.870556,90.485558
"TCA Oval, Blantyre",Blantyre,-15.78499,35.00854
"Nigeria Cricket Federation Oval 1, Abuja",Lagos,6.45407,3.39467
"Nigeria Cricket Federation Oval 2, Abuja",Lagos,6.45407,3.39467
"Nigeria Cricket Federation Oval 1, Abuja",Abuja,9.05785,7.49508
"Nigeria Cricket Federation Oval 2, Abuja",Abuja,9.05785,7.49508
Singapore National Cricket Ground,Singapore,1.28967,103.85007
"Shere Bangla National Stadium, Mirpur",Mirpur,28.02271,69.54886
