match_id,venue_name,city,venue_lat,venue_long
1121267,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121268,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121279,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121280,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121281,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121282,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121283,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121284,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121285,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121286,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121287,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121288,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121289,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1121290,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169379,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169380,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169381,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169382,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169383,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169384,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169385,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169386,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169387,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169388,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169389,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169390,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169392,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169401,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169402,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169403,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169404,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169405,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169406,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169417,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169418,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169419,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169420,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169421,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169422,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169423,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1169424,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208067,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208068,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208069,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208070,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208071,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208072,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208073,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208074,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208087,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208088,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208089,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208090,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208091,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208092,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208093,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208094,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208101,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208102,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208103,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208104,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208105,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208106,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208107,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208108,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208109,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208110,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208111,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1208112,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296685,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296686,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296687,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
