match_id,match_date,latitude,longitude,daily_apparent_temperature_mean,hourly_relative_humidity_2m,hourly_apparent_temperature,hourly_precipitation,hourly_is_day,hourly_temperature_2m_spread,hourly_temperature_2m
1023581,2016-12-20,-33.843254,151.06749,26.195353,59.654545,26.195349,0.0,0.625,,24.989084
1023583,2016-12-21,-34.915386,138.596039,16.55105,62.49472,16.551046,0.0,0.5833333,,18.496248
1023585,2016-12-22,-37.816391,144.94751,15.977874,73.55639,15.977874,0.0,0.625,,16.6265
1023587,2016-12-23,-33.891434,151.223465,22.275576,75.89306,22.27558,0.1,0.625,,21.31675
1023589,2016-12-23,-31.959843,115.879799,23.522377,47.163574,23.522375,0.0,0.5833333,,25.248833
1023591,2016-12-26,-42.877167,147.373779,13.541799,73.35379,13.541799,0.8,0.625,,15.6595
1023593,2016-12-27,-33.891434,151.223465,25.763176,77.97719,25.763176,0.0,0.625,,23.400084
1023595,2016-12-28,-33.843254,151.06749,28.480133,61.953175,28.480133,0.0,0.625,,26.572418
1023597,2016-12-29,-37.816391,144.94751,25.892853,83.59266,25.892847,19.5,0.5833333,,23.497335
1023599,2016-12-30,-27.485596,153.038071,30.746614,74.45752,30.746614,0.0,0.5833333,,27.157248
1023601,2016-12-31,-34.915386,138.596039,19.585897,74.048164,19.585897,0.2,0.625,,19.24594
1023603,2017-01-01,-37.819775,144.98349,15.5132475,74.876854,15.513246,2.8,0.5833333,,17.26075
1023605,2017-01-01,-31.959843,115.879799,22.06675,41.140266,22.066748,0.0,0.5833333,,24.372583
1023607,2017-01-02,-42.877167,147.373779,12.735718,74.93775,12.735717,0.1,0.625,,14.5955
1023609,2017-01-03,-27.485596,153.038071,23.84445,80.21954,23.84445,7.3999996,0.5833333,,22.828917
1023611,2017-01-04,-33.843254,151.06749,22.705244,70.69571,22.70524,0.5,0.625,,21.755915
1023613,2017-01-05,-31.959843,115.879799,18.634554,60.128952,18.634554,0.0,0.5833333,,20.655916
1023615,2017-01-06,-34.915386,138.596039,30.93273,25.213022,30.93273,0.0,0.625,,33.383335
1023617,2017-01-07,-37.816391,144.94751,29.424227,28.429102,29.42422,0.0,0.5833333,,31.648333
1023619,2017-01-08,-42.877167,147.373779,19.164156,56.1461,19.164158,0.0,0.625,,20.449667
1023621,2017-01-09,-33.891434,151.223465,26.831589,72.38595,26.83159,0.7,0.625,,24.618668
1023623,2017-01-10,-37.819775,144.98349,20.780254,66.088234,20.780252,0.2,0.5833333,,20.727417
1023625,2017-01-11,-27.485596,153.038071,30.279417,71.883995,30.279417,0.0,0.5416667,,27.039331
1023627,2017-01-12,-37.816391,144.94751,22.209717,48.100506,22.209717,0.5,0.5833333,,23.050415
1023629,2017-01-14,-33.891434,151.223465,25.832703,71.287315,25.832703,2.1,0.625,,24.518667
1023631,2017-01-14,-31.959843,115.879799,25.233297,34.31183,25.233297,0.0,0.5833333,,26.885084
1023633,2017-01-16,-34.915386,138.596039,24.953138,36.340244,24.95313,0.0,0.625,,25.685417
1023635,2017-01-17,-37.819775,144.98349,23.498117,52.081432,23.498117,0.0,0.5833333,,24.866999
1023637,2017-01-18,-33.843254,151.06749,23.629128,63.482014,23.629128,0.3,0.5833333,,23.728834
1023639,2017-01-20,-27.485596,153.038071,32.20221,72.49084,32.20221,0.3,0.5416667,,28.24975
1023641,2017-01-21,-42.877167,147.373779,14.16862,63.977936,14.168621,0.4,0.625,,15.974667
1023643,2017-01-21,-37.819775,144.98349,16.025028,69.98858,16.02503,0.0,0.5833333,,16.950335
1023645,2017-01-24,-31.959843,115.879799,22.130653,37.66568,22.130653,0.0,0.5833333,,24.670502
1023647,2017-01-25,-27.485596,153.038071,29.055632,73.175896,29.055634,0.0,0.5416667,,25.672668
1023649,2017-01-28,-31.959843,115.879799,32.081966,52.77959,32.081966,1.1,0.5833333,,30.280916
1114856,2017-12-19,-33.843254,151.06749,31.866165,48.365093,31.866165,0.0,0.625,,30.349669
1114857,2017-12-20,-27.485596,153.038071,28.321943,67.53442,28.32194,0.0,0.5833333,,26.028917
1114858,2017-12-21,-42.877167,147.373779,15.190091,54.469025,15.19009,0.2,0.625,,18.049665
1114859,2017-12-22,-34.915386,138.596039,21.578371,45.205555,21.578371,0.0,0.5833333,,22.225
1114860,2017-12-23,-33.891434,151.223465,25.954718,77.22134,25.954718,0.0,0.625,,23.818665
1114861,2017-12-23,-37.816391,144.94751,19.608597,64.57102,19.608599,2.4,0.625,,20.454584
1114862,2017-12-26,-31.959843,115.879799,19.245344,60.11143,19.245342,0.0,0.5833333,,20.812166
1114863,2017-12-27,-27.485596,153.038071,26.003197,77.00149,26.003195,1.9000001,0.5833333,,23.605997
1114864,2017-12-28,-33.891434,151.223465,25.734003,78.00967,25.734003,0.0,0.625,,23.68325
1114865,2017-12-29,-37.816391,144.94751,18.874989,78.644295,18.874987,2.5,0.5833333,,18.710833
1114866,2017-12-30,-41.43876,147.13467,12.275277,54.54939,12.275277,0.0,0.625,,15.133751
1114867,2017-12-31,-34.915386,138.596039,18.56829,69.16848,18.568293,0.1,0.625,,18.652082
1114868,2018-01-01,-33.843254,151.06749,24.04532,77.55047,24.045324,0.0,0.625,,22.410086
1114869,2018-01-01,-31.959843,115.879799,24.303215,44.185043,24.303213,0.0,0.5833333,,25.891333
1114870,2018-01-02,-37.819775,144.98349,15.363709,61.99823,15.363711,0.5,0.5833333,,17.681583
1114871,2018-01-03,-38.157318,144.3535,15.634498,67.3659,15.634496,0.0,0.5833333,,16.978249
1114872,2018-01-04,-42.877167,147.373779,17.592344,61.290394,17.592344,0.90000004,0.625,,18.603834
1114873,2018-01-05,-27.485596,153.038071,26.531029,78.83785,26.531029,1.1,0.5833333,,23.687248
1114874,2018-01-06,-37.819775,144.98349,25.093645,52.26375,25.093649,0.0,0.5833333,,26.496168
1114875,2018-01-07,-33.843254,151.06749,30.992325,53.06165,30.992327,0.0,0.625,,30.126749
1114876,2018-01-08,-42.877167,147.373779,17.49131,64.415474,17.49131,0.5,0.625,,18.197584
1114877,2018-01-08,-31.959843,115.879799,23.420023,32.20413,23.420029,0.0,0.5833333,,26.389252
1114878,2018-01-09,-34.915386,138.596039,16.939587,54.18108,16.939585,0.0,0.625,,18.966667
1114879,2018-01-10,-27.485596,153.038071,29.627512,73.08927,29.627512,0.3,0.5416667,,26.133085
1114880,2018-01-11,-33.843254,151.06749,25.19857,79.97293,25.198572,1.4,0.625,,22.995499
1114881,2018-01-12,-37.816391,144.94751,20.408077,75.686356,20.40808,20.300001,0.5833333,,20.27125
1114882,2018-01-13,-23.709005,133.875046,26.756525,61.55188,26.756525,0.90000004,0.5416667,,25.937998
