match_id,event,season,match_number,city,team1,team2,toss_winner,toss_decision,venue,winner,player_of_match,venue_id,venue_name,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets,town_id,town_name,match_date,match_time,venue_long,venue_lat
1152539,Big Bash League,2018/19,29.0,Geelong,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Geelong Cricket Ground,Brisbane Heat,M Bryant,1344,Geelong Cricket Ground,276,14,2,9,3,19,Geelong,2019-01-13,18:35:00,144.36069,-38.14711
1058153,Kenya T20 Quadrangular Series,2016,4.0,Nairobi,Qatar,Uganda,Uganda,bat,Jaffery Sports Club Ground,Qatar,,2118,"Jaffery Sports Club Ground, Nairobi",209,12,1,9,0,780,Nairobi,2016-09-27,10:00:00,36.81667,-1.28333
1058157,Kenya T20 Quadrangular Series,2016,6.0,Nairobi,Qatar,Saudi Arabia,Qatar,field,Jaffery Sports Club Ground,Saudi Arabia,,2118,"Jaffery Sports Club Ground, Nairobi",310,14,1,12,1,780,Nairobi,2016-09-28,10:00:00,36.81667,-1.28333
1155313,ICC World Twenty20 Europe Region Qualifier A,2018,11.0,Deventer,Portugal,Denmark,Portugal,bat,Sportpark Het Schootsveld,Denmark,SH Ahmad,1123,"Sportpark Het Schootsveld, Deventer",160,15,3,5,3,785,Deventer,2018-09-01,16:00:00,6.16389,52.255
1155315,ICC World Twenty20 Europe Region Qualifier A,2018,13.0,Deventer,Austria,Germany,Austria,bat,Sportpark Het Schootsveld,Austria,A Randhawa,1123,"Sportpark Het Schootsveld, Deventer",255,12,1,9,0,785,Deventer,2018-09-02,11:00:00,6.16389,52.255
1155316,ICC World Twenty20 Europe Region Qualifier A,2018,14.0,Deventer,Denmark,France,Denmark,bat,Sportpark Het Schootsveld 2,Denmark,Rizwan Mahmood,2180,"Sportpark Het Schootsveld 2, Deventer",263,11,2,8,1,785,Deventer,2018-09-02,11:00:00,6.16389,52.255
1155317,ICC World Twenty20 Europe Region Qualifier A,2018,15.0,Deventer,Cyprus,Portugal,Cyprus,bat,Sportpark Het Schootsveld,Portugal,P Buccimazza,1123,"Sportpark Het Schootsveld, Deventer",209,13,4,3,1,785,Deventer,2018-09-02,16:00:00,6.16389,52.255
1156659,ICC World Twenty20 Europe Region Qualifier B,2018,10.0,Schiedam,Belgium,Italy,Belgium,bat,Sportpark Thurlede,Italy,NA Maiolo,1324,"Sportpark Thurlede, Schiedam",262,11,1,5,3,795,Schiedam,2018-09-01,11:00:00,4.3942739,51.9313172
1156663,ICC World Twenty20 Europe Region Qualifier B,2018,14.0,Schiedam,Jersey,Finland,Jersey,bat,Sportpark Thurlede,Jersey,B Ward,1324,"Sportpark Thurlede, Schiedam",185,21,6,8,1,795,Schiedam,2018-09-02,11:00:00,4.3942739,51.9313172
1156668,ICC World Twenty20 Europe Region Qualifier C,2018,4.0,Schiedam,Norway,Sweden,Norway,bat,Sportpark Thurlede,,,1324,"Sportpark Thurlede, Schiedam",96,4,0,2,0,795,Schiedam,2018-08-29,16:00:00,4.3942739,51.9313172
