,Credits,Player Type,Player Name,Team,key_cricinfo,identifier,unique_name
43,7.0,BOWL,Dushmantha Chameera,DC,552152,327b58d3,PVD Chameera
44,7.0,BAT,Karun Nair,DC,398439,944533a5,KK Nair
45,8.5,BAT,Faf du Plessis,DC,44828,3355b542,F du Plessis
46,8.5,BOWL,Mitchell Starc,DC,311592,3fb19989,MA Starc
47,5.5,BOWL,Gurnoor Brar Singh,GT,1287033,99258814,Gurnoor Brar
48,6.0,ALL,Nishant Sindhu,GT,1292506,3cea23da,N Sindhu
49,5.5,ALL,Arshad Khan,GT,1244751,12314277,Arshad Khan (2)
50,8.0,BAT,Sai Sudharsan,GT,1151288,d5130a30,B Sai Sudharsan
51,5.5,WK,Kumar Kushagra,GT,1207295,57ca01b3,Kumar Kushagra
52,6.0,ALL,Manav Suthar,GT,1175426,025c4400,MJ Suthar
53,7.0,BAT,Sherfane Rutherford,GT,914541,d014d5ac,SE Rutherford
54,7.0,BOWL,Gerald Coetzee,GT,596010,3204c99f,G Coetzee
55,6.5,WK,Anuj Rawat,GT,1123073,c8f5f961,Anuj Rawat
56,6.0,BOWL,Kulwant Khejroliya,GT,1083033,fa2f1dde,K Khejroliya
57,9.0,BAT,Shubman Gill,GT,1070173,b4b99816,Shubman Gill
58,7.0,BOWL,Ravisrinivasan Sai Kishore,GT,1048739,c7a995d3,R Sai Kishore
59,6.5,BAT,Mahipal Lomror,GT,853265,da934ee8,MK Lomror
60,6.0,ALL,Karim Janat,GT,793467,62175638,Karim Janat
61,7.0,ALL,Washington Sundar,GT,719715,f19ccfad,Washington Sundar
62,7.5,ALL,Shahrukh Khan,GT,719719,7dcb9bc9,M Shahrukh Khan
63,8.0,BOWL,Mohammed Siraj,GT,940973,2f49c897,Mohammed Siraj
64,8.0,BAT,Glenn Phillips,GT,823509,9a46c4e5,GD Phillips
65,9.0,BOWL,Rashid-Khan,GT,793463,5f547c8b,Rashid Khan
66,7.5,BOWL,Prasidh Krishna,GT,917159,85e0cf10,M Prasidh Krishna
67,6.5,BOWL,Jayant Yadav,GT,447587,81049310,J Yadav
68,7.0,ALL,Rahul Tewatia,GT,423838,39a2dfa8,R Tewatia
69,8.5,BOWL,Kagiso Rabada,GT,550215,e62dd25d,K Rabada
70,9.0,WK,Jos Buttler,GT,308967,99b75528,JC Buttler
71,7.5,BOWL,Ishant Sharma,GT,236779,5bb1a1c4,I Sharma
72,8.0,BOWL,Harshit Rana,KKR,1312645,77b1aa15,Harshit Rana
73,6.5,BAT,Angkrish Raghuvanshi,KKR,1292495,d7017798,A Raghuvanshi
74,6.5,BOWL,Vaibhav Arora,KKR,1209292,7c3b3b78,VG Arora
75,5.5,WK,Luvnith Sisodia,KKR,1155253,a689af4b,LUVNITH SISODIA
76,6.0,BOWL,Mayank Markande,KKR,1081442,a9fd84fb,M Markande
77,6.0,BOWL,Chetan Sakariya,KKR,1131754,2cdce1be,C Sakariya
78,7.5,WK,Rahmanullah Gurbaz,KKR,974087,0bacade8,Rahmanullah Gurbaz
79,6.5,BOWL,Spencer Johnson,KKR,1123718,83c3e8e3,SH Johnson
80,9.0,BOWL,Varun Chakravarthy,KKR,1108375,5b7ab5a9,CV Varun
81,8.0,BOWL,Anrich Nortje,KKR,481979,acdc62f5,A Nortje
82,6.0,ALL,Anukul Sudhakar Roy,KKR,1079839,e4cdf230,AS Roy
83,7.5,ALL,Ramandeep Singh,KKR,1079470,be24ead0,Ramandeep Singh
84,7.0,BAT,Rovman Powell,KKR,820351,650d5e49,R Powell
85,7.5,BAT,Rinku Singh,KKR,723105,0a509d6b,RK Singh
86,8.0,BAT,Venkatesh Iyer,KKR,851403,a24be938,VR Iyer
87,7.0,ALL,Moeen Ali,KKR,8917,bb351c23,MM Ali
88,8.0,WK,Quinton de Kock,KKR,379143,372455c4,Q de Kock
89,8.5,ALL,Andre Russell,KKR,276298,bbd41817,AD Russell
90,9.0,ALL,Sunil Narine,KKR,230558,9d430b40,SP Narine
91,7.0,BAT,Manish Pandey,KKR,290630,93b4fc78,MK Pandey
92,7.5,BAT,Ajinkya Rahane,KKR,277916,29e95537,AM Rahane
93,6.0,BOWL,Umran Malik,KKR,1246528,81c08fa3,Umran Malik
94,5.0,BOWL,Digvesh Singh,LSG,1460529,,
95,5.5,BOWL,Prince Yadav,LSG,1350768,80b2fb19,Prince Yadav
96,6.5,BOWL,Shamar Joseph,LSG,1356971,97290faf,S Joseph
97,7.5,BOWL,Mayank Yadav,LSG,1292563,b1ad996b,MP Yadav
98,6.0,ALL,Arshin Kulkarni,LSG,1403153,2d140b79,AA Kulkarni
99,7.0,BOWL,Akash Deep,LSG,1176959,0a67aec0,Akash Deep
100,6.0,BOWL,Akash Singh,LSG,1175458,b483905d,Akash Singh
101,5.0,ALL,Yuvraj Chaudhary,LSG,1175463,1730e08e,Yuvraj Chaudhary
102,8.0,BOWL,Ravi Bishnoi,LSG,1175441,df064e1a,Ravi Bishnoi
103,6.5,BAT,Abdul Samad,LSG,1175485,8e514b4c,Abdul Samad
104,7.0,ALL,Shahbaz Ahmed,LSG,1159711,f9e6e7ef,Shahbaz Ahmed
105,5.5,BOWL,Rajvardhan Hangargekar,LSG,1175429,c3c92b42,RS Hangargekar
106,7.0,BAT,Ayush Badoni,LSG,1151270,872b03f7,A Badoni
107,5.5,WK,Aryan Juyal,LSG,1130300,5f2732f7,Aryan Juyal
108,7.0,BOWL,Mohsin Khan,LSG,1132005,c33d8116,Mohsin Khan (2)
109,6.5,BAT,Matthew Breetzke,LSG,595267,35f173a0,MP Breetzke
110,6.0,BOWL,Manimaran Siddharth,LSG,1151286,cf0ccafa,M Siddharth
111,9.0,WK,Rishabh Pant,LSG,931581,919a3be2,RR Pant
112,5.5,BAT,Himmat Singh,LSG,805235,ebcfef83,Himmat Singh
113,8.0,ALL,Aiden Markram,LSG,600498,6a26221c,AK Markram
114,8.0,BOWL,Avesh Khan,LSG,694211,eef2536f,Avesh Khan
115,8.5,WK,Nicholas Pooran,LSG,604302,3241e3fd,N Pooran
116,8.0,BAT,David Miller,LSG,321777,d67d5f00,DA Miller
117,8.0,BAT,Mitchell Marsh,LSG,272450,3d8feaf8,MR Marsh
118,6.0,BAT,Bevon Jacobs,MI,1410577,972f217b,BJ Jacobs
119,6.5,ALL,Naman Dhir,MI,1287032,fffa744b,Naman Dhir
120,5.5,WK,Robin Minz,MI,1350762,,
121,5.5,BAT,Raj Angad Bawa,MI,1292502,ba6b2f91,RA Bawa
122,5.0,BOWL,Vignesh Puthur,MI,1460388,,
123,5.5,ALL,Satyanarayana Raju,MI,1392201,,
124,5.5,BOWL,Ashwani Kumar,MI,1209126,d45c29b1,Ashwani Kumar
125,8.0,BAT,Tilak Varma,MI,1170265,b0482a1d,Tilak Varma
126,6.0,WK,KL Shrijith,MI,778241,0372c4c5,K L Shrijith
127,7.0,BOWL,Mujeeb-ur-Rahman,MI,974109,7d92277a,Mujeeb Ur Rahman
128,7.5,WK,Ryan Rickelton,MI,605661,e66732f8,RD Rickelton
129,5.0,BOWL,Arjun Tendulkar,MI,1148776,44aac2f0,Arjun Tendulkar
130,7.5,ALL,Will Jacks,MI,897549,9caf69a1,WG Jacks
131,9.0,ALL,Hardik Pandya,MI,625371,dbe50b21,HH Pandya
132,7.5,ALL,Mitchell Santner,MI,502714,e4a0deae,MJ Santner
133,6.5,BOWL,Reece Topley,MI,461632,8db7f47f,RJW Topley
134,6.0,ALL,Corbin Bosch,MI,594322,172dff15,C Bosch
135,9.0,BOWL,Jasprit Bumrah,MI,625383,462411b3,JJ Bumrah
136,8.5,BOWL,Trent Boult,MI,277912,a818c1be,TA Boult
137,9.0,BAT,Suryakumar Yadav,MI,446507,271f83cd,SA Yadav
138,8.0,BOWL,Deepak Chahar,MI,447261,23eeb873,DL Chahar
139,6.5,BOWL,Karn Sharma,MI,30288,119678fd,KV Sharma
140,9.0,BAT,Rohit Sharma,MI,34102,740742ef,RG Sharma
141,6.0,ALL,Musheer Khan,PBKS,1316430,,
142,5.0,BAT,Harnoor Singh Pannu,PBKS,1292496,,
143,5.5,BAT,Pyla Avinash,PBKS,1324449,,
144,5.5,ALL,Suryansh Shedge,PBKS,1339698,970ddd24,Suryansh Shedge
145,6.5,BOWL,Harpreet Brar,PBKS,1168641,c05edf8e,Harpreet Brar
146,6.5,BAT,Priyansh Arya,PBKS,1175456,b5797845,Priyansh Arya
147,6.0,BOWL,Kuldeep Sen,PBKS,1163695,2e78f685,KR Sen
