,match_id,venue_id,venue_name,venue_lat,venue_long,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
34,1023649,213,"Western Australia Cricket Association Ground, Perth",-31.959843,115.879799,36,5046,421,60,284,18
35,1114856,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
36,1114857,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
37,1114858,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
38,1114859,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
39,1114860,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
40,1114861,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
41,1114862,213,"Western Australia Cricket Association Ground, Perth",-31.959843,115.879799,36,5046,421,60,284,18
42,1114863,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
43,1114864,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
44,1114865,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
45,1114866,3009,"Aurora Stadium, Launceston",-41.43876,147.13467,11,1383,139,19,96,14
46,1114867,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
47,1114868,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
48,1114869,213,"Western Australia Cricket Association Ground, Perth",-31.959843,115.879799,36,5046,421,60,284,18
49,1114870,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
50,1114871,564,"GMHBA Stadium, South Geelong, Victoria",-38.157318,144.3535,18,2222,225,42,150,19
51,1114872,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
52,1114873,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
53,1114874,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
54,1114875,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
55,1114876,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
56,1114877,213,"Western Australia Cricket Association Ground, Perth",-31.959843,115.879799,36,5046,421,60,284,18
57,1114878,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
58,1114879,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
59,1114880,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
60,1114881,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
61,1114882,1301,"Traeger Park, Alice Springs",-23.709005,133.875046,2,215,32,7,19,3
62,1114883,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
63,1114884,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
64,1114885,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
65,1114886,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
66,1114887,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
67,1114888,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
68,1114889,213,"Western Australia Cricket Association Ground, Perth",-31.959843,115.879799,36,5046,421,60,284,18
69,1114890,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
70,1114891,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
71,1114892,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
72,1114893,213,"Western Australia Cricket Association Ground, Perth",-31.959843,115.879799,36,5046,421,60,284,18
73,1114894,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
74,1114895,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
75,1114896,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
76,1114897,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
77,1114898,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
78,1152511,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
79,1152512,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
80,1152513,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
81,1152514,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
82,1152515,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
83,1152516,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
84,1152517,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
85,1152518,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
86,1152519,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
87,1152520,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
88,1152521,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
89,1152522,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
90,1152523,3009,"Aurora Stadium, Launceston",-41.43876,147.13467,11,1383,139,19,96,14
91,1152524,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
92,1152525,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
93,1152526,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
94,1152527,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
95,1152528,564,"GMHBA Stadium, South Geelong, Victoria",-38.157318,144.3535,18,2222,225,42,150,19
96,1152529,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
97,1152530,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
98,1152531,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
99,1152532,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
100,1152533,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
101,1152534,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
102,1152535,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
