match_id,season,match_name,venue,home_team,away_team
1304055,2022,MI v RR,"Dr DY Patil Sports Academy, Navi Mumbai",MI,RR
1304056,2022,GT v DC,"Maharashtra Cricket Association Stadium, Pune",GT,DC
1304057,2022,CSK v PBKS,"Brabourne Stadium, Mumbai",CSK,PBKS
1304058,2022,SRH v LSG,"Dr DY Patil Sports Academy, Navi Mumbai",SRH,LSG
1304059,2022,RR v RCB,"Wankhede Stadium, Mumbai",RR,RCB
1304060,2022,KKR v MI,"Maharashtra Cricket Association Stadium, Pune",KKR,MI
1304061,2022,LSG v DC,"Dr DY Patil Sports Academy, Navi Mumbai",LSG,DC
1304062,2022,PBKS v GT,"Brabourne Stadium, Mumbai",PBKS,GT
1304063,2022,CSK v SRH,"Dr DY Patil Sports Academy, Navi Mumbai",CSK,SRH
1304064,2022,RCB v MI,"Maharashtra Cricket Association Stadium, Pune",RCB,MI
1304065,2022,KKR v DC,"Brabourne Stadium, Mumbai",KKR,DC
1304066,2022,RR v LSG,"Wankhede Stadium, Mumbai",RR,LSG
1304067,2022,SRH v GT,"Dr DY Patil Sports Academy, Navi Mumbai",SRH,GT
1304068,2022,CSK v RCB,"Dr DY Patil Sports Academy, Navi Mumbai",CSK,RCB
1304069,2022,MI v PBKS,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS
1304070,2022,RR v GT,"Dr DY Patil Sports Academy, Navi Mumbai",RR,GT
1304071,2022,SRH v KKR,"Brabourne Stadium, Mumbai",SRH,KKR
1304072,2022,MI v LSG,"Brabourne Stadium, Mumbai",MI,LSG
1304073,2022,DC v RCB,"Wankhede Stadium, Mumbai",DC,RCB
1304074,2022,PBKS v SRH,"Dr DY Patil Sports Academy, Navi Mumbai",PBKS,SRH
1304075,2022,GT v CSK,"Maharashtra Cricket Association Stadium, Pune",GT,CSK
1304076,2022,RR v KKR,"Brabourne Stadium, Mumbai",RR,KKR
1304077,2022,LSG v RCB,"Dr DY Patil Sports Academy, Navi Mumbai",LSG,RCB
1304078,2022,DC v PBKS,"Brabourne Stadium, Mumbai",DC,PBKS
1304079,2022,MI v CSK,"Dr DY Patil Sports Academy, Navi Mumbai",MI,CSK
1304080,2022,DC v RR,"Wankhede Stadium, Mumbai",DC,RR
1304081,2022,KKR v GT,"Dr DY Patil Sports Academy, Navi Mumbai",KKR,GT
1304082,2022,RCB v SRH,"Brabourne Stadium, Mumbai",RCB,SRH
1304083,2022,LSG v MI,"Wankhede Stadium, Mumbai",LSG,MI
1304084,2022,PBKS v CSK,"Wankhede Stadium, Mumbai",PBKS,CSK
1304085,2022,RCB v RR,"Maharashtra Cricket Association Stadium, Pune",RCB,RR
1304086,2022,GT v SRH,"Wankhede Stadium, Mumbai",GT,SRH
1304087,2022,DC v KKR,"Wankhede Stadium, Mumbai",DC,KKR
1304088,2022,PBKS v LSG,"Maharashtra Cricket Association Stadium, Pune",PBKS,LSG
1304089,2022,GT v RCB,"Brabourne Stadium, Mumbai",GT,RCB
1304090,2022,RR v MI,"Dr DY Patil Sports Academy, Navi Mumbai",RR,MI
1304091,2022,DC v LSG,"Wankhede Stadium, Mumbai",DC,LSG
1304092,2022,SRH v CSK,"Maharashtra Cricket Association Stadium, Pune",SRH,CSK
1304093,2022,KKR v RR,"Wankhede Stadium, Mumbai",KKR,RR
1304094,2022,GT v PBKS,"Dr DY Patil Sports Academy, Navi Mumbai",GT,PBKS
1304095,2022,RCB v CSK,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK
1304096,2022,DC v SRH,"Brabourne Stadium, Mumbai",DC,SRH
1304097,2022,GT v MI,"Brabourne Stadium, Mumbai",GT,MI
1304098,2022,PBKS v RR,"Wankhede Stadium, Mumbai",PBKS,RR
1304099,2022,LSG v KKR,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR
1304100,2022,SRH v RCB,"Wankhede Stadium, Mumbai",SRH,RCB
1304101,2022,CSK v DC,"Dr DY Patil Sports Academy, Navi Mumbai",CSK,DC
