match_id,season,match_name,venue,home_team,away_team
1178431,2019,MI v KKR,"Wankhede Stadium, Mumbai",MI,KKR
1181764,2019,MI v CSK,"MA Chidambaram Stadium, Chepauk, Chennai",MI,CSK
1181766,2019,DC v SRH,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",DC,SRH
1181767,2019,CSK v DC,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",CSK,DC
1181768,2019,MI v CSK,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",MI,CSK
1136561,2018,MI v CSK,"Wankhede Stadium, Mumbai",MI,CSK
1136562,2018,PBKS v DC,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,DC
1136563,2018,KKR v RCB,"Eden Gardens, Kolkata",KKR,RCB
1136564,2018,SRH v RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,RR
1136565,2018,CSK v KKR,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,KKR
1136566,2018,RR v DC,"Sawai Mansingh Stadium, Jaipur",RR,DC
1136567,2018,SRH v MI,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,MI
1136568,2018,RCB v PBKS,"M.Chinnaswamy Stadium, Bengaluru",RCB,PBKS
1136569,2018,MI v DC,"Wankhede Stadium, Mumbai",MI,DC
1136570,2018,KKR v SRH,"Eden Gardens, Kolkata",KKR,SRH
1136571,2018,RCB v RR,"M.Chinnaswamy Stadium, Bengaluru",RCB,RR
1136572,2018,PBKS v CSK,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,CSK
1136573,2018,KKR v DC,"Eden Gardens, Kolkata",KKR,DC
1136574,2018,MI v RCB,"Wankhede Stadium, Mumbai",MI,RCB
1136575,2018,RR v KKR,"Sawai Mansingh Stadium, Jaipur",RR,KKR
1136576,2018,PBKS v SRH,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,SRH
1136577,2018,CSK v RR,"Maharashtra Cricket Association Stadium, Pune",CSK,RR
1136578,2018,KKR v PBKS,"Eden Gardens, Kolkata",KKR,PBKS
1136579,2018,RCB v DC,"M.Chinnaswamy Stadium, Bengaluru",RCB,DC
1136580,2018,SRH v CSK,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,CSK
1136581,2018,RR v MI,"Sawai Mansingh Stadium, Jaipur",RR,MI
1136582,2018,DC v PBKS,"Arun Jaitley Stadium, Delhi",DC,PBKS
1136583,2018,MI v SRH,"Wankhede Stadium, Mumbai",MI,SRH
1136584,2018,RCB v CSK,"M.Chinnaswamy Stadium, Bengaluru",RCB,CSK
1136585,2018,SRH v PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,PBKS
1136586,2018,DC v KKR,"Arun Jaitley Stadium, Delhi",DC,KKR
1136587,2018,CSK v MI,"Maharashtra Cricket Association Stadium, Pune",CSK,MI
1136588,2018,RR v SRH,"Sawai Mansingh Stadium, Jaipur",RR,SRH
