season,match_id,match_name,home_team,away_team,venue,batting_team,bowling_innings,bowling_team,fullName,catching_FP,stumping_FP,direct_runout_FP,indirect_runout_FP,Fielding_FP
2023,1359540,PBKS v RR,PBKS,RR,"Himachal Pradesh Cricket Association Stadium, Dharamsala",RR,2,PBKS,substitute_catch,16,0,0,0,16
2023,1359539,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,1,RCB,Harshal Patel,8,0,0,0,8
2023,1359539,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,1,RCB,Mahipal Lomror,8,0,0,0,8
2023,1359539,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,1,RCB,Wayne Parnell,8,0,0,0,8
2023,1359539,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",RCB,2,SRH,Glenn Phillips,8,0,0,0,8
2023,1359539,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",RCB,2,SRH,Rahul Tripathi,8,0,0,0,8
2023,1359538,PBKS v DC,DC,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",DC,1,PBKS,Atharva Taide,8,0,0,0,8
2023,1359538,PBKS v DC,DC,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",DC,1,PBKS,Shikhar Dhawan,8,0,0,0,8
2023,1359538,PBKS v DC,DC,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",PBKS,2,DC,Aman Hakim Khan,8,0,0,0,8
2023,1359538,PBKS v DC,DC,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",PBKS,2,DC,Axar Patel,16,0,0,0,16
2023,1359538,PBKS v DC,DC,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",PBKS,2,DC,Khaleel Ahmed,8,0,0,0,8
2023,1359538,PBKS v DC,DC,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",PBKS,2,DC,Yash Dhull,8,0,0,0,8
2023,1359537,LSG v MI,LSG,MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,1,MI,Ishan Kishan,16,0,0,0,16
2023,1359537,LSG v MI,LSG,MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,1,MI,Tim David,8,0,0,0,8
2023,1359537,LSG v MI,LSG,MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MI,2,LSG,Deepak Hooda,8,0,0,0,8
2023,1359537,LSG v MI,LSG,MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MI,2,LSG,Naveen-ul-Haq,8,0,0,0,8
2023,1359537,LSG v MI,LSG,MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MI,2,LSG,Nicholas Pooran,8,0,0,0,8
2023,1359537,LSG v MI,LSG,MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MI,2,LSG,substitute_catch,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",GT,1,SRH,Abdul Samad,8,0,0,0,8
