season,match_id,match_name,home_team,away_team,batting_team,bowling_team,venue,bowling_innings,fullName,overs,total_balls,dots,maidens,conceded,foursConceded,sixesConceded,wickets,economyRate,wides,noballs,LBW,Hitwicket,CaughtBowled,Bowled,Overs_Bowled,Bowling_FP
2023,1359476,PBKS v KKR,PBKS,KKR,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,Harpreet Brar,1.0,6,3,0,7,1,0,0,7.0,0,0,0,0,0,0,[12],0
2023,1359477,LSG v DC,LSG,DC,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Khaleel Ahmed,4.0,24,15,0,30,3,2,2,7.5,1,0,0,0,0,0,"[1, 3, 15, 19]",50
2023,1359477,LSG v DC,LSG,DC,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Mukesh Kumar,4.0,24,5,0,34,0,2,0,8.5,1,0,0,0,0,0,"[2, 5, 7, 18]",0
2023,1359477,LSG v DC,LSG,DC,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Chetan Sakariya,4.0,24,8,0,53,1,6,2,13.25,3,0,0,0,0,0,"[4, 6, 17, 20]",44
2023,1359477,LSG v DC,LSG,DC,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Axar Patel,4.0,24,8,0,38,1,3,1,9.5,0,0,0,0,0,1,"[8, 10, 12, 14]",33
2023,1359477,LSG v DC,LSG,DC,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Kuldeep Yadav,4.0,24,7,0,35,0,3,1,8.75,0,0,0,0,0,0,"[9, 11, 13, 16]",25
2023,1359477,LSG v DC,LSG,DC,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Kyle Mayers,1.0,6,3,0,7,1,0,0,7.0,1,0,0,0,0,0,[1],0
2023,1359477,LSG v DC,LSG,DC,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Jaydev Unadkat,3.0,18,3,0,39,5,0,0,13.0,2,0,0,0,0,0,"[2, 15, 19]",-6
2023,1359477,LSG v DC,LSG,DC,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Krishnappa Gowtham,4.0,24,9,0,23,2,0,0,5.75,1,0,0,0,0,0,"[3, 9, 11, 17]",4
2023,1359477,LSG v DC,LSG,DC,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Avesh Khan,4.0,24,12,0,29,3,1,2,7.25,0,0,0,0,0,0,"[4, 6, 16, 18]",50
2023,1359477,LSG v DC,LSG,DC,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Mark Wood,4.0,24,17,0,14,1,0,5,3.5,1,1,0,0,0,2,"[5, 7, 13, 20]",163
2023,1359477,LSG v DC,LSG,DC,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,Ravi Bishnoi,4.0,24,8,0,31,3,1,2,7.75,0,0,1,0,0,0,"[8, 10, 12, 14]",58
2023,1359478,SRH v RR,SRH,RR,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Bhuvneshwar Kumar,3.0,18,6,0,36,4,2,0,12.0,1,0,0,0,0,0,"[1, 3, 18]",-4
2023,1359478,SRH v RR,SRH,RR,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Fazalhaq Farooqi,4.0,24,11,0,41,7,0,2,10.25,0,0,0,0,0,1,"[2, 6, 13, 20]",56
2023,1359478,SRH v RR,SRH,RR,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Washington Sundar,3.0,18,5,0,32,1,3,0,10.66,0,0,0,0,0,0,"[4, 12, 14]",-2
2023,1359478,SRH v RR,SRH,RR,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,T Natarajan,3.0,18,7,0,23,4,0,2,7.66,0,0,0,0,0,0,"[5, 17, 19]",50
2023,1359478,SRH v RR,SRH,RR,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Adil Rashid,4.0,24,6,0,33,1,2,0,8.25,0,0,0,0,0,0,"[7, 9, 11, 16]",0
2023,1359478,SRH v RR,SRH,RR,RR,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Umran Malik,3.0,18,4,0,32,4,1,1,10.66,1,0,0,0,0,1,"[8, 10, 15]",31
2023,1359478,SRH v RR,SRH,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,Trent Boult,4.0,24,15,1,21,2,1,2,5.25,0,0,0,0,0,1,"[1, 3, 5, 19]",74
2023,1359478,SRH v RR,SRH,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,KM Asif,3.0,18,9,0,15,1,0,0,5.0,1,0,0,0,0,0,"[2, 8, 15]",4
2023,1359478,SRH v RR,SRH,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,Jason Holder,3.0,18,10,0,16,1,1,1,5.33,0,0,0,0,0,0,"[4, 9, 17]",29
2023,1359478,SRH v RR,SRH,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,Ravichandran Ashwin,4.0,24,10,0,27,1,1,1,6.75,2,0,0,0,0,0,"[6, 10, 12, 16]",27
2023,1359478,SRH v RR,SRH,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,Yuzvendra Chahal,4.0,24,11,0,17,0,0,4,4.25,0,0,0,0,0,2,"[7, 11, 14, 18]",130
2023,1359478,SRH v RR,SRH,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,Navdeep Saini,2.0,12,3,0,34,3,2,0,17.0,0,3,0,0,0,0,"[13, 20]",-6
2023,1359479,RCB v MI,RCB,MI,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",1,Mohammed Siraj,4.0,24,16,0,21,2,0,1,5.25,6,0,0,0,0,0,"[1, 3, 5, 19]",29
2023,1359479,RCB v MI,RCB,MI,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",1,Reece Topley,2.0,12,7,0,14,3,0,1,7.0,0,0,0,0,0,1,"[2, 4]",35
2023,1359479,RCB v MI,RCB,MI,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",1,Akash Deep,3.0,18,7,0,29,2,2,1,9.66,0,0,0,0,0,0,"[6, 13, 17]",25
2023,1359479,RCB v MI,RCB,MI,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",1,Harshal Patel,4.0,24,6,0,43,3,2,1,10.75,1,1,0,0,0,0,"[7, 15, 18, 20]",23
2023,1359479,RCB v MI,RCB,MI,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",1,Karn Sharma,4.0,24,7,0,32,1,2,2,8.0,1,0,0,0,0,1,"[8, 10, 14, 16]",58
2023,1359479,RCB v MI,RCB,MI,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",1,Michael Bracewell,2.0,12,6,0,16,3,0,1,8.0,0,0,0,0,0,0,"[9, 11]",25
2023,1359479,RCB v MI,RCB,MI,MI,RCB,"M.Chinnaswamy Stadium, Bengaluru",1,Glenn Maxwell,1.0,6,0,0,16,1,1,0,16.0,1,0,0,0,0,0,[12],0
2023,1359479,RCB v MI,RCB,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",2,Jason Behrendorff,3.0,18,6,0,37,3,3,0,12.33,0,0,0,0,0,0,"[1, 3, 13]",-6
