season,match_id,match_name,home_team,away_team,venue,batting_innings,bowling_innings,fullName,Starting_11,Batting_FP,Bowling_FP,Fielding_FP,Total_FP,Dream Team,Captain,Vice Captain
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Cameron Green,4,42,-4,0,42,1,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Akash Madhwal,4,0,19,0,23,0,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Piyush Chawla,4,0,19,0,23,0,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Ishan Kishan,4,0,0,12,16,0,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Tim David,4,2,0,8,14,0,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Rohit Sharma,4,9,0,0,13,0,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Kumar Kartikeya,4,7,0,0,11,0,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Jason Behrendorff,4,3,2,0,9,0,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Vishnu Vinod,4,5,0,0,9,0,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Nehal Wadhera,4,5,0,0,9,0,0,0
2023,1370352,GT v MI,GT,MI,"Narendra Modi Stadium, Motera, Ahmedabad",2,1,Chris Jordan,4,2,-6,0,0,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Akash Madhwal,4,0,163,6,173,1,1,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Cameron Green,4,59,4,14,81,1,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Chris Jordan,4,4,43,8,59,1,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Suryakumar Yadav,4,47,0,0,51,1,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Nehal Wadhera,4,35,0,0,39,1,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Ishan Kishan,4,18,0,14,36,1,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Tilak Varma,4,30,0,0,34,1,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Tim David,4,14,0,14,32,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Piyush Chawla,4,0,27,0,31,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Rohit Sharma,4,14,0,12,30,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Hrithik Shokeen,4,0,0,8,12,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Jason Behrendorff,4,0,2,0,6,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Naveen-ul-Haq,4,1,116,0,121,1,0,1
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Yash Thakur,4,0,79,0,83,1,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Marcus Stoinis,4,53,0,0,57,1,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Deepak Hooda,4,17,0,28,49,1,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Mohsin Khan,4,0,25,0,29,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Kyle Mayers,4,23,0,0,27,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Ravi Bishnoi,4,3,0,8,15,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Krishnappa Gowtham,4,2,0,8,14,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Krunal Pandya,4,9,0,0,13,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Ayush Badoni,4,1,0,8,13,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Nicholas Pooran,4,-2,0,8,10,0,0,0
2023,1370351,LSG v MI,LSG,MI,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Prerak Mankad,4,3,0,0,7,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Ravindra Jadeja,4,26,64,8,102,1,1,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Ruturaj Gaikwad,4,79,0,8,91,1,0,1
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Maheesh Theekshana,4,0,60,8,72,1,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Devon Conway,4,48,0,16,68,1,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Deepak Chahar,4,0,50,8,62,1,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Matheesha Pathirana,4,0,50,8,62,1,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Ajinkya Rahane,4,23,0,0,27,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Tushar Deshpande,4,0,23,0,27,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Ambati Rayudu,4,20,0,0,24,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,substitute_fielder,4,0,0,12,16,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Moeen Ali,4,11,0,0,15,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,MS Dhoni,4,1,0,0,5,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,Shivam Dube,4,1,0,0,5,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Rashid Khan,4,47,25,8,84,1,0,0
