match_id,season,match_name,home_team,away_team,venue,bowling_team,batting_team,batting_innings,fullName,batting_position,runs,balls,fours,sixes,strike_rate,Batting_FP
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",GT,CSK,1,Devon Conway,1,1,6,0,0,16.66,1
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",GT,CSK,1,Ruturaj Gaikwad,2,92,50,4,9,184.0,128
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",GT,CSK,1,Moeen Ali,3,23,17,4,1,135.29,31
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",GT,CSK,1,Ben Stokes,4,7,6,1,0,116.66,8
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",GT,CSK,1,Ambati Rayudu,5,12,12,0,1,100.0,14
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",GT,CSK,1,Shivam Dube,6,19,18,0,1,105.55,21
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",GT,CSK,1,Ravindra Jadeja,7,1,2,0,0,50.0,1
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",GT,CSK,1,MS Dhoni,8,14,7,1,1,200.0,17
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",GT,CSK,1,Mitchell Santner,9,1,3,0,0,33.33,1
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",CSK,GT,2,Wriddhiman Saha,1,25,16,2,2,156.25,35
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",CSK,GT,2,Shubman Gill,2,63,36,6,3,175.0,89
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",CSK,GT,2,Sai Sudharsan,3,22,17,3,0,129.41,25
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",CSK,GT,2,Hardik Pandya,4,8,11,0,0,72.72,8
1359475,2023,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",CSK,GT,2,Vijay Shankar,5,27,21,2,1,128.57,31
