match_id,precipitation,temperature_2m,relative_humidity_2m,dew_point_2m,rain,wind_speed_100m
1023581,0.0,25.582,53.002277,15.261999,0.0,13.011011
1023583,0.0,17.1725,65.358444,10.4825,0.0,27.84488
1023585,0.0,15.658999,76.20772,11.408999,0.0,21.133362
1023587,0.0,21.3655,71.10643,15.8855,0.0,25.49347
1023589,0.0,24.138,50.75295,12.878,0.0,36.6034
1023591,0.0,15.306999,74.83056,10.776999,0.0,25.597761
1023593,0.0,23.045498,79.24275,19.245499,0.0,21.542309
1023595,0.0,25.672,66.049965,18.852001,0.0,29.20098
1023597,2.1200001,21.969,94.87838,21.109,2.1200001,19.749584
1023599,0.0,25.6385,81.68269,22.2285,0.0,27.293354
1023601,0.0,19.6,74.71324,14.9,0.0,16.042059
1023603,0.14000002,17.177,81.08557,13.897,0.14000002,26.629765
1023605,0.0,22.885502,56.318615,13.5255,0.0,28.939419
1023607,0.0,14.6455,71.93877,9.6355,0.0,24.795212
1023609,0.0,22.696,82.321915,19.526,0.0,33.09034
1023611,0.0,20.845499,73.49497,15.8654995,0.0,17.650417
1023613,0.0,22.2455,63.53025,14.9655,0.0,37.66085
1023615,0.0,33.8,24.352663,10.62,0.0,28.444653
1023617,0.0,31.375,30.556362,11.874999,0.0,30.97785
1023619,0.0,18.9955,56.741302,10.1655,0.0,23.134434
1023621,0.0,23.196999,77.754745,19.087,0.0,21.290659
1023623,0.0,18.487001,77.77487,14.527,0.0,21.195133
1023625,0.0,25.146,80.99347,21.635998,0.0,24.10223
1023627,0.0,20.625,63.3651,13.255,0.0,12.345353
1023629,0.02,24.337002,80.49395,20.746998,0.02,25.60291
1023631,0.0,27.5655,32.517494,9.595499,0.0,29.019821
1023633,0.0,24.49,42.206264,10.76,0.0,6.0560083
1023635,0.0,22.367,62.98542,14.747,0.0,25.788807
1023637,0.0,21.5555,69.19221,15.6655,0.0,27.790152
1023639,0.0,26.816,85.10208,24.096,0.0,18.75826
1023641,0.0,19.0155,51.49421,8.7655,0.0,12.681418
1023643,0.0,17.607,68.45266,11.596999,0.0,22.586504
1023645,0.0,24.7855,42.959633,11.0555,0.0,34.872444
1023647,0.0,24.016,81.26489,20.596,0.0,16.972256
1023649,0.0,32.5755,36.348183,15.495501,0.0,22.852034
1114856,0.0,28.0955,55.656963,18.385502,0.0,23.36458
1114857,0.0,24.446001,75.21358,19.766,0.0,29.802301
1114858,0.0,17.0555,59.632984,9.1154995,0.0,23.811443
1114859,0.0,20.750002,55.791515,11.55,0.0,17.101387
1114860,0.0,25.496998,68.629776,19.237,0.0,34.090782
1114861,0.120000005,20.045002,68.85499,13.695,0.120000005,22.62682
1114862,0.0,22.005499,54.696514,12.395499,0.0,31.868073
1114863,0.04,23.216,80.25462,19.556,0.04,15.49658
1114864,0.0,22.827,81.71751,19.507,0.0,28.69516
1114865,0.04,19.475002,87.724724,17.355,0.04,13.310066
1114866,0.0,13.745,48.412937,2.925,0.0,19.97881
1114867,0.0,18.78,71.76844,13.4,0.0,17.809818
1114868,0.0,22.5655,78.501205,18.5355,0.0,15.233355
1114869,0.0,24.8855,52.720673,14.3455,0.0,29.873348
1114870,0.0,17.267002,67.38673,11.117,0.0,31.003231
1114871,0.0,17.1345,65.777664,10.604501,0.0,24.418594
1114872,0.0,18.2755,59.793175,10.245501,0.0,17.868689
1114873,0.0,23.156002,83.07632,20.096,0.0,14.769312
1114874,0.0,22.206999,63.68266,14.956999,0.0,28.530539
1114875,0.0,24.2655,72.871635,19.025501,0.0,27.315342
1114876,0.0,17.6055,70.982956,12.2455,0.0,22.888546
1114877,0.0,29.0755,19.535429,3.2855003,0.0,26.35671
1114878,0.0,17.22,59.38967,9.01,0.0,26.724493
1114879,0.0,24.046001,81.39732,20.626,0.0,16.931921
1114880,0.0,21.9255,86.119774,19.4755,0.0,18.056501
1114881,1.3199999,17.975,89.417984,16.205,1.3199999,12.928531
1114882,0.0,29.033,58.384117,20.023,0.0,22.464151
1114883,0.060000002,20.926998,78.86843,17.116999,0.060000002,25.630234
1114884,0.0,13.185499,57.998737,5.0955,0.0,29.562775
1114885,0.0,18.027,63.19585,10.816999,0.0,22.992294
1114886,0.0,28.289999,26.960821,7.47,0.0,18.487072
1114887,0.0,19.177,83.9719,16.337,0.0,13.383922
1114888,0.0,22.587002,71.2899,17.007,0.0,17.464878
1114889,0.0,24.4255,70.008156,18.585499,0.0,27.828945
1114890,0.0,18.505,73.232445,13.615,0.0,22.054386
1114891,0.0,23.207,81.65416,19.877,0.0,27.976574
1114892,0.0,21.873999,79.042885,18.004,0.0,6.868028
1114893,0.0,22.885498,63.454914,15.3355,0.0,34.430973
1114894,0.0,30.077002,58.400013,20.997002,0.0,12.804739
1114895,0.0,25.276001,80.09447,21.556,0.0,18.601072
1114896,0.0,27.991001,37.13676,11.961,0.0,16.726076
1114897,0.0,20.560001,59.509056,12.33,0.0,38.748158
1114898,0.0,30.439999,26.692383,9.06,0.0,22.958803
1152511,0.0,23.646,91.56153,22.166,0.0,16.614346
1152512,0.0,16.375,74.76591,11.885,0.0,31.013128
1152513,0.68,15.973999,84.90298,13.384,0.68,18.846094
1152514,0.0,19.286999,64.46657,12.417,0.0,42.48736
1152515,0.14,21.8755,82.01239,18.645498,0.14,44.17641
1152516,0.0,22.8,38.353447,7.45,0.0,20.248346
1152517,0.0,27.7055,26.118214,6.3954997,0.0,29.91659
1152518,0.0,20.1955,78.50169,16.255499,0.0,24.500921
1152519,0.0,23.141,51.481697,12.051,0.0,27.597057
1152520,0.0,22.647,71.13392,17.036999,0.0,34.468662
1152521,0.0,17.3755,83.14546,14.4655,0.0,10.919641
1152522,0.02,19.215,85.236534,16.645,0.02,13.124842
1152523,0.0,17.914999,66.07982,11.255,0.0,19.58637
1152524,0.0,21.91,38.731205,6.94,0.0,31.737604
1152525,0.0,26.1755,63.67623,18.7355,0.0,22.15525
1152526,0.0,19.127,75.46623,14.587,0.0,24.337173
1152527,0.0,24.535498,70.31969,18.585499,0.0,22.101128
1152528,0.0,20.484499,82.24165,17.1345,0.0,8.632174
1152529,0.14,18.2655,72.42006,12.925499,0.14,20.117107
1152530,0.0,25.3155,72.52961,19.9855,0.0,18.237705
1152531,0.0,23.041,55.333305,13.330999,0.0,30.690567
1152532,0.0,19.66,53.38816,9.66,0.0,29.600958
1152533,0.0,19.545002,66.9257,13.125,0.0,20.309109
1152534,0.22,24.2655,83.00328,21.1355,0.22,7.0853133
1152535,0.0,16.667,52.089897,6.697,0.0,23.458448
1152536,0.0,23.736,83.22957,20.675999,0.0,16.628391
1152537,0.0,32.59,18.854649,5.7599998,0.0,20.83208
1152538,0.0,24.7255,69.34967,18.6955,0.0,23.210125
1152539,0.0,22.247002,64.39453,15.106999,0.0,27.625011
1152540,0.0,21.980999,70.982994,16.470999,0.0,34.77515
1152541,0.0,24.507,67.65825,17.927,0.0,19.4331
1152542,0.0,24.626999,81.66093,21.217,0.0,20.498064
1152543,0.0,24.216,66.9956,17.536,0.0,21.48071
1152544,0.0,23.501001,56.6287,14.031001,0.0,28.187372
1152545,0.0,18.565,60.65281,10.725,0.0,25.681263
1152546,0.0,23.367,79.86783,19.676998,0.0,18.600096
1152547,0.0,28.289999,44.510727,14.74,0.0,18.62846
1152548,0.0,25.7155,77.6588,21.4355,0.0,22.872992
1152549,0.0,28.188,43.129494,14.328,0.0,15.791295
1152550,0.0,22.766998,74.38043,17.967,0.0,38.772438
1152551,0.0,16.611002,66.97051,10.441,0.0,30.471043
1152552,0.0,20.667,62.663715,13.157,0.0,26.702808
1152553,0.0,25.691,44.10855,12.231001,0.0,31.24181
1152554,0.0,24.5455,47.62545,12.555499,0.0,20.81112
1152555,0.0,24.977,74.54192,20.067,0.0,30.086239
1152556,0.82,27.355,57.91648,18.285,0.82,31.029242
1152557,0.0,14.045,42.301773,1.1850001,0.0,19.653687
1152558,0.0,25.076,73.05078,19.906,0.0,18.141285
1152559,0.08,23.286999,87.772545,21.126999,0.08,15.835241
1152560,0.0,26.01,40.543922,11.43,0.0,32.989983
1152561,0.0,25.620998,30.066437,6.2809997,0.0,23.267984
1152562,0.0,21.2155,67.80832,14.9155,0.0,15.175148
1152563,0.0,23.476002,88.578064,21.476002,0.0,12.894182
1152564,0.0,20.77,44.693016,8.29,0.0,31.155298
