match_id,match_number,team1,team2,toss_winner,toss_decision,winner,venue_id,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets,precipitation,temperature_2m,relative_humidity_2m,dew_point_2m,rain,wind_speed_100m
1114867,12.0,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,bat,Adelaide Strikers,131,90,13595,1085,211,719,76,0.0,18.78,71.76844,13.4,0.0,17.809818
1114868,13.0,Sydney Thunder,Hobart Hurricanes,Sydney Thunder,field,Hobart Hurricanes,2967,37,4826,441,80,285,34,0.0,22.5655,78.501205,18.5355,0.0,15.233355
1114869,14.0,Perth Scorchers,Sydney Sixers,Perth Scorchers,field,Perth Scorchers,213,36,5046,421,60,284,18,0.0,24.8855,52.720673,14.3455,0.0,29.873348
1114870,15.0,Melbourne Stars,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,61,89,12573,1109,172,721,56,0.0,17.267002,67.38673,11.117,0.0,31.003231
1114871,16.0,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Melbourne Renegades,564,18,2222,225,42,150,19,0.0,17.1345,65.777664,10.604501,0.0,24.418594
1114872,17.0,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,bat,Hobart Hurricanes,905,79,11709,974,167,662,56,0.0,18.2755,59.793175,10.245501,0.0,17.868689
1114873,18.0,Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Brisbane Heat,209,71,10608,908,129,636,40,0.0,23.156002,83.07632,20.096,0.0,14.769312
1114874,19.0,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,61,89,12573,1109,172,721,56,0.0,22.206999,63.68266,14.956999,0.0,28.530539
1114875,20.0,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Strikers,2967,37,4826,441,80,285,34,0.0,24.2655,72.871635,19.025501,0.0,27.315342
1114876,21.0,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,bat,Hobart Hurricanes,905,79,11709,974,167,662,56,0.0,17.6055,70.982956,12.2455,0.0,22.888546
1114877,22.0,Perth Scorchers,Melbourne Renegades,Perth Scorchers,field,Perth Scorchers,213,36,5046,421,60,284,18,0.0,29.0755,19.535429,3.2855003,0.0,26.35671
1114878,23.0,Adelaide Strikers,Melbourne Stars,Melbourne Stars,bat,Adelaide Strikers,131,90,13595,1085,211,719,76,0.0,17.22,59.38967,9.01,0.0,26.724493
1114879,24.0,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,209,71,10608,908,129,636,40,0.0,24.046001,81.39732,20.626,0.0,16.931921
1114880,25.0,Sydney Thunder,Perth Scorchers,Sydney Thunder,bat,Sydney Thunder,2967,37,4826,441,80,285,34,0.0,21.9255,86.119774,19.4755,0.0,18.056501
1114881,26.0,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Melbourne Stars,1177,69,10067,853,151,556,52,1.3199999,17.975,89.417984,16.205,1.3199999,12.928531
1114882,27.0,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,1301,2,215,32,7,19,3,0.0,29.033,58.384117,20.023,0.0,22.464151
1114883,28.0,Sydney Sixers,Sydney Thunder,Sydney Sixers,field,Sydney Sixers,132,83,11551,1025,179,667,60,0.060000002,20.926998,78.86843,17.116999,0.060000002,25.630234
1114884,29.0,Hobart Hurricanes,Brisbane Heat,Brisbane Heat,bat,Hobart Hurricanes,905,79,11709,974,167,662,56,0.0,13.185499,57.998737,5.0955,0.0,29.562775
1114885,30.0,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers,61,89,12573,1109,172,721,56,0.0,18.027,63.19585,10.816999,0.0,22.992294
1114886,31.0,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,bat,Adelaide Strikers,131,90,13595,1085,211,719,76,0.0,28.289999,26.960821,7.47,0.0,18.487072
1114887,32.0,Sydney Sixers,Brisbane Heat,Sydney Sixers,field,Sydney Sixers,132,83,11551,1025,179,667,60,0.0,19.177,83.9719,16.337,0.0,13.383922
1114888,33.0,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Sydney Thunder,61,89,12573,1109,172,721,56,0.0,22.587002,71.2899,17.007,0.0,17.464878
1114889,34.0,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,field,Perth Scorchers,213,36,5046,421,60,284,18,0.0,24.4255,70.008156,18.585499,0.0,27.828945
1114890,35.0,Melbourne Renegades,Adelaide Strikers,Melbourne Renegades,field,Adelaide Strikers,1177,69,10067,853,151,556,52,0.0,18.505,73.232445,13.615,0.0,22.054386
1114891,36.0,Sydney Sixers,Melbourne Stars,Sydney Sixers,field,Sydney Sixers,132,83,11551,1025,179,667,60,0.0,23.207,81.65416,19.877,0.0,27.976574
1114892,37.0,Sydney Thunder,Melbourne Renegades,Sydney Thunder,field,Melbourne Renegades,757,32,4620,379,79,242,26,0.0,21.873999,79.042885,18.004,0.0,6.868028
1114893,38.0,Perth Scorchers,Adelaide Strikers,Perth Scorchers,field,Perth Scorchers,213,36,5046,421,60,284,18,0.0,22.885498,63.454914,15.3355,0.0,34.430973
1114894,39.0,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,field,Melbourne Stars,61,89,12573,1109,172,721,56,0.0,30.077002,58.400013,20.997002,0.0,12.804739
1114895,40.0,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,Melbourne Renegades,209,71,10608,908,129,636,40,0.0,25.276001,80.09447,21.556,0.0,18.601072
1114896,41.0,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,field,Hobart Hurricanes,3404,48,7033,611,85,429,28,0.0,27.991001,37.13676,11.961,0.0,16.726076
1114897,42.0,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Adelaide Strikers,131,90,13595,1085,211,719,76,0.0,20.560001,59.509056,12.33,0.0,38.748158
1114898,43.0,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,bat,Adelaide Strikers,131,90,13595,1085,211,719,76,0.0,30.439999,26.692383,9.06,0.0,22.958803
1152511,1.0,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers,209,71,10608,908,129,636,40,0.0,23.646,91.56153,22.166,0.0,16.614346
1152512,2.0,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,field,Melbourne Renegades,1177,69,10067,853,151,556,52,0.0,16.375,74.76591,11.885,0.0,31.013128
1152513,3.0,Sydney Thunder,Melbourne Stars,Melbourne Stars,field,Sydney Thunder,757,32,4620,379,79,242,26,0.68,15.973999,84.90298,13.384,0.68,18.846094
1152514,4.0,Sydney Sixers,Perth Scorchers,Sydney Sixers,bat,Sydney Sixers,132,83,11551,1025,179,667,60,0.0,19.286999,64.46657,12.417,0.0,42.48736
1152515,5.0,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,field,Hobart Hurricanes,950,20,2818,269,39,186,19,0.14,21.8755,82.01239,18.645498,0.14,44.17641
1152516,6.0,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,131,90,13595,1085,211,719,76,0.0,22.8,38.353447,7.45,0.0,20.248346
1152517,7.0,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,field,Hobart Hurricanes,905,79,11709,974,167,662,56,0.0,27.7055,26.118214,6.3954997,0.0,29.91659
1152518,8.0,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Thunder,2967,37,4826,441,80,285,34,0.0,20.1955,78.50169,16.255499,0.0,24.500921
1152519,9.0,Perth Scorchers,Adelaide Strikers,Perth Scorchers,field,Perth Scorchers,3404,48,7033,611,85,429,28,0.0,23.141,51.481697,12.051,0.0,27.597057
1152520,10.0,Sydney Sixers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,132,83,11551,1025,179,667,60,0.0,22.647,71.13392,17.036999,0.0,34.468662
1152521,11.0,Hobart Hurricanes,Sydney Thunder,Hobart Hurricanes,field,Hobart Hurricanes,905,79,11709,974,167,662,56,0.0,17.3755,83.14546,14.4655,0.0,10.919641
1152522,12.0,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Sydney Sixers,1177,69,10067,853,151,556,52,0.02,19.215,85.236534,16.645,0.02,13.124842
1152523,13.0,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,field,Hobart Hurricanes,3009,11,1383,139,19,96,14,0.0,17.914999,66.07982,11.255,0.0,19.58637
1152524,14.0,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,bat,Adelaide Strikers,131,90,13595,1085,211,719,76,0.0,21.91,38.731205,6.94,0.0,31.737604
1152525,15.0,Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers,950,20,2818,269,39,186,19,0.0,26.1755,63.67623,18.7355,0.0,22.15525
1152526,16.0,Melbourne Stars,Melbourne Renegades,Melbourne Stars,field,Melbourne Stars,61,89,12573,1109,172,721,56,0.0,19.127,75.46623,14.587,0.0,24.337173
1152527,17.0,Sydney Thunder,Perth Scorchers,Sydney Thunder,bat,Sydney Thunder,2967,37,4826,441,80,285,34,0.0,24.535498,70.31969,18.585499,0.0,22.101128
1152528,18.0,Melbourne Renegades,Adelaide Strikers,Melbourne Renegades,field,Adelaide Strikers,564,18,2222,225,42,150,19,0.0,20.484499,82.24165,17.1345,0.0,8.632174
1152529,19.0,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,field,Hobart Hurricanes,905,79,11709,974,167,662,56,0.14,18.2655,72.42006,12.925499,0.14,20.117107
1152530,20.0,Melbourne Stars,Sydney Thunder,Sydney Thunder,bat,Melbourne Stars,950,20,2818,269,39,186,19,0.0,25.3155,72.52961,19.9855,0.0,18.237705
1152531,21.0,Perth Scorchers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,3404,48,7033,611,85,429,28,0.0,23.041,55.333305,13.330999,0.0,30.690567
1152532,22.0,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,bat,Sydney Sixers,131,90,13595,1085,211,719,76,0.0,19.66,53.38816,9.66,0.0,29.600958
1152533,23.0,Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,field,Melbourne Renegades,1177,69,10067,853,151,556,52,0.0,19.545002,66.9257,13.125,0.0,20.309109
1152534,24.0,Sydney Thunder,Brisbane Heat,Sydney Thunder,field,Brisbane Heat,2967,37,4826,441,80,285,34,0.22,24.2655,83.00328,21.1355,0.22,7.0853133
1152535,25.0,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,61,89,12573,1109,172,721,56,0.0,16.667,52.089897,6.697,0.0,23.458448
