venue_id,venue_lat,venue_long,venue_name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
208,10.667081,-61.523479,"Queen's Park Oval, Port of Spain, Trinidad",60,8065,728,170,436,50
1004,6.940017,79.871864,"R Premadasa Stadium, Colombo",45,6036,577,128,321,49
200,17.978214,-76.782532,"Sabina Park, Kingston, Jamaica",35,4977,424,73,293,32
2480,-41.33094,173.213013,"Saxton Oval, Nelson",3,526,42,8,26,5
545,31.513062,74.33445,"Gaddafi Stadium, Lahore",23,3517,279,62,169,24
2575,23.310146,85.27475,"JSCA International Stadium Complex, Ranchi",32,4436,382,72,223,32
2865,26.1844,91.7458,"Barsapara Cricket Stadium, Guwahati",16,2315,186,26,108,20
164,52.45573,-1.902735,"Edgbaston, Birmingham",116,17069,1574,303,1017,93
75,53.456211,-2.286946,"Old Trafford, Manchester",77,11193,924,144,631,50
176,51.477051,-2.584355,"County Ground, Bristol",61,9052,753,123,527,38
333,28.637922,77.243233,"Feroz Shah Kotla, Delhi",126,18861,1520,253,932,97
2401,22.363312,70.709641,"Saurashtra Cricket Association Stadium, Rajkot",38,5672,472,79,290,28
3400,8.5714901,76.8844035,"Greenfield International Stadium, Thiruvananthapuram",17,1903,216,39,122,14
508,-26.131367,28.057131,"New Wanderers Stadium, Johannesburg",60,8721,743,150,452,56
902,-25.860279,28.19549,"SuperSport Park, Centurion",60,8691,697,120,447,40
174,-33.973419,18.468786,"Newlands, Cape Town",41,5703,496,77,317,35
442,20.481144,85.868484,"Barabati Stadium, Cuttack",34,4588,441,94,249,32
1055,22.724623,75.879837,"Holkar Cricket Stadium, Indore",53,7534,635,110,395,39
713,18.939007,72.82579,"Wankhede Stadium, Mumbai",157,24432,1871,288,1229,133
237,55.9587435,-3.2099989,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",25,3578,330,53,233,12
2025,23.99511,90.32359,"Shere Bangla National Stadium, Mirpur",318,42836,4171,737,2442,321
1564,24.921228,91.868729,Sylhet International Cricket Stadium,71,10448,882,157,526,69
