Venue ID,Venue Name,Historical average Runs at the venue,Historical Average Wickets in Venue,Bowled wickets/ total wickets ratio,Caught wickets/ total wickets ratio
1981,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",94.92207792207792,1.4155844155844155,0.1743119266055046,0.6605504587155964
2677,"Maharashtra Cricket Association Stadium, Pune",86.66666666666667,1.5098039215686274,0.12987012987012986,0.6883116883116883
2401,"Saurashtra Cricket Association Stadium, Rajkot",105.7,1.4,0.0,0.7857142857142857
1055,"Holkar Cricket Stadium, Indore",98.77777777777777,0.8888888888888888,0.375,0.5
683,"M Chinnaswamy Stadium, Bangalore",94.40425531914893,1.372340425531915,0.16279069767441862,0.7054263565891473
713,"Wankhede Stadium, Mumbai",96.23728813559322,1.347457627118644,0.1949685534591195,0.6918238993710691
292,"Eden Gardens, Kolkata",93.19354838709677,1.3010752688172043,0.18181818181818182,0.6446280991735537
333,"Feroz Shah Kotla, Delhi",92.26666666666667,1.4444444444444444,0.2076923076923077,0.6153846153846154
1015,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",97.59016393442623,1.360655737704918,0.1686746987951807,0.6867469879518072
419,"Green Park, Kanpur",110.75,1.25,0.4,0.4
291,"MA Chidambaram Stadium, Chepauk, Chennai",89.17647058823529,1.5176470588235293,0.16279069767441862,0.6356589147286822
664,"Sawai Mansingh Stadium, Jaipur",95.24561403508773,1.368421052631579,0.1282051282051282,0.6794871794871795
1896,"Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium, Visakhapatnam",79.4,1.5333333333333334,0.13043478260869565,0.8260869565217391
1965,"Zayed Cricket Stadium, Abu Dhabi",93.89189189189189,1.3783783783783783,0.11764705882352941,0.7450980392156863
2439,Dubai International Cricket Stadium,94.1304347826087,1.434782608695652,0.16666666666666666,0.7424242424242424
848,Sharjah Cricket Stadium,89.64285714285714,1.4285714285714286,0.225,0.65
840,"Narendra Modi Stadium, Ahmedabad",99.11111111111111,1.3611111111111112,0.20408163265306123,0.6938775510204082
393,"Brabourne Stadium, Mumbai",95.25925925925925,1.4074074074074074,0.07894736842105263,0.7894736842105263
2361,"Dr DY Patil Sports Academy, Mumbai",81.45945945945945,1.5675675675675675,0.15517241379310345,0.6896551724137931
3355,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",88.14285714285714,1.7857142857142858,0.04,0.84
2865,"Barsapara Cricket Stadium, Guwahati",88.66666666666667,1.6666666666666667,0.2,0.4
1920,"Himachal Pradesh Cricket Association Stadium, Dharamsala",86.15384615384616,1.6153846153846154,0.14285714285714285,0.6666666666666666
3585,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",83.8,1.0,0.2,0.8
174,"Newlands, Cape Town",70.0,1.2857142857142858,0.3333333333333333,0.6666666666666666
173,"St George's Park, Port Elizabeth",72.0,1.0,0.14285714285714285,0.42857142857142855
302,"Kingsmead, Durban",82.0,1.4666666666666666,0.09090909090909091,0.7727272727272727
902,"SuperSport Park, Centurion",98.91666666666667,1.1666666666666667,0.21428571428571427,0.6428571428571429
931,"Buffalo Park, East London",82.0,1.6666666666666667,0.0,0.4
508,"New Wanderers Stadium, Johannesburg",88.0,1.375,0.18181818181818182,0.5454545454545454
703,"De Beers Diamond Oval, Kimberley",81.0,1.3333333333333333,0.0,0.25
949,"OUTsurance Oval, Bloemfontein",62.5,1.0,0.0,1.0
442,"Barabati Stadium, Cuttack",92.71428571428571,1.4285714285714286,0.1,0.8
2399,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",90.66666666666667,1.6666666666666667,0.2,0.8
1056,"Nehru Stadium, Kochi",76.4,1.8,0.1111111111111111,0.7777777777777778
2815,"Shaheed Veer Narayan Singh International Stadium, Raipur",99.83333333333333,1.1666666666666667,0.14285714285714285,0.5714285714285714
2575,"JSCA International Stadium Complex, Ranchi",94.14285714285714,1.8571428571428572,0.23076923076923078,0.5384615384615384
