_id,Player Occupation,Total Runs Scored in all matches combined,strike rate in all matches combined,no. of fours/ no. of balls played,no. of sixes/ no. of balls played,highest runs scored in a match,Balls Played till now,no. of dot_balls/ no. of balls played,maiden_overs/ floor(overs played),run conceded/ no. of balls played,Average Economy Rate,no. of wickets/ no. of balls played,highest wickets taken in a match,total_centuries,total_halfcenturies
48739,0,2915,148.49719816607234,0.1553744268976057,0.052980132450331126,109,1963,0.3413143148242486,0.0,0.0,0.0,0.0,0,1,35
15887,2,2314,134.14492753623188,0.14956521739130435,0.030144927536231884,101,1725,0.3397101449275362,0.0,2.0,5.0,0.1111111111111111,1,1,23
47078,2,157,121.70542635658914,0.11627906976744186,0.023255813953488372,52,129,0.32558139534883723,0.0,1.0303030303030303,5.0,0.10101010101010101,3,0,1
7716,2,709,144.1056910569106,0.11585365853658537,0.08333333333333333,58,492,0.3780487804878049,0.0,1.2,5.0,0.12,4,0,5
64479,2,237,143.63636363636363,0.08484848484848485,0.06666666666666667,59,165,0.24848484848484848,0.0,1.5833333333333333,5.0,0.08333333333333333,1,0,2
49028,2,37,185.0,0.1,0.15,37,20,0.3,0.0,1.4583333333333333,5.0,0.08333333333333333,2,0,0
12701,0,417,137.17105263157893,0.1118421052631579,0.07894736842105263,94,304,0.4144736842105263,0.0,0.0,0.0,0.0,0,0,3
47347,2,62,213.79310344827584,0.10344827586206896,0.1724137931034483,35,29,0.20689655172413793,0.0,1.263157894736842,5.0,0.06140350877192982,2,0,0
54282,2,27,103.84615384615385,0.11538461538461539,0.0,27,26,0.38461538461538464,0.06896551724137931,1.0670470756062767,5.0,0.07988587731811697,5,0,0
7804,1,0,0.0,0.0,0.0,0,0,0.0,0.01639344262295082,1.0673854447439353,5.0,0.0862533692722372,4,0,0
79159,2,149,215.94202898550722,0.11594202898550725,0.21739130434782608,79,69,0.36231884057971014,0.017094017094017096,1.0905233380480905,5.0,0.08486562942008487,4,0,1
7568,2,1609,154.8604427333975,0.11453320500481232,0.11934552454282965,102,1039,0.4215591915303176,0.0,1.1818181818181819,5.0,0.12121212121212122,3,1,14
59601,0,438,136.4485981308411,0.16822429906542055,0.024922118380062305,77,321,0.35202492211838005,0.0,0.0,0.0,0.0,0,0,2
66190,0,89,296.6666666666667,0.26666666666666666,0.26666666666666666,89,30,0.23333333333333334,0.0,0.0,0.0,0.0,0,0,1
51482,0,299,134.6846846846847,0.15315315315315314,0.036036036036036036,63,222,0.33783783783783783,0.0,0.0,0.0,0.0,0,0,2
10125,2,1595,160.140562248996,0.15562248995983935,0.08835341365461848,117,996,0.36244979919678716,0.0,1.0948012232415902,5.0,0.08868501529051988,3,1,16
61479,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10553,2,231,150.0,0.1038961038961039,0.06493506493506493,48,154,0.2857142857142857,0.0,1.5333333333333334,5.0,0.1,2,0,0
51455,2,8,160.0,0.2,0.0,8,5,0.2,0.0,1.1448275862068966,5.0,0.09655172413793103,4,0,0
62490,1,0,0.0,0.0,0.0,0,0,0.0,0.0,2.0,5.0,0.1,2,0,0
61325,1,0,0.0,0.0,0.0,0,0,0.0,0.018292682926829267,1.1385237613751265,5.0,0.09302325581395349,5,0,0
66085,1,0,0.0,0.0,0.0,0,0,0.0,0.5,1.1176470588235294,5.0,0.058823529411764705,1,0,0
51096,0,1622,129.656274980016,0.13269384492406075,0.027977617905675458,84,1251,0.32214228617106316,0.0,0.0,0.0,0.0,0,0,15
59599,0,951,142.57871064467767,0.13943028485757122,0.049475262368815595,89,667,0.32233883058470764,0.0,0.0,0.0,0.0,0,0,8
50281,0,834,130.92621664050233,0.11930926216640503,0.03610675039246468,84,637,0.3281004709576138,0.0,0.0,0.0,0.0,0,0,5
53320,2,446,154.32525951557093,0.14186851211072665,0.058823529411764705,107,289,0.2837370242214533,0.09523809523809523,1.0793650793650793,5.0,0.1111111111111111,3,2,3
7593,0,1313,151.09321058688147,0.09781357882623705,0.08745684695051784,84,869,0.31070195627157654,0.0,0.0,0.0,0.0,0,0,10
47624,0,455,114.60957178841309,0.11335012594458438,0.030226700251889168,61,397,0.3954659949622166,0.0,0.0,0.0,0.0,0,0,4
7520,2,39,105.40540540540539,0.02702702702702703,0.05405405405405406,23,37,0.35135135135135137,0.0,1.125,5.0,0.10096153846153846,4,0,0
62022,2,39,195.0,0.05,0.15,39,20,0.15,0.0851063829787234,1.1099290780141844,5.0,0.09929078014184398,4,0,0
58435,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0454545454545454,5.0,0.09090909090909091,3,0,0
48965,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.1253918495297806,5.0,0.08150470219435736,4,0,0
19422,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.9576923076923077,5.0,0.11153846153846154,4,0,0
9900,0,875,127.73722627737227,0.16642335766423358,0.020437956204379562,70,685,0.38248175182481753,0.0,0.0,0.0,0.0,0,0,7
53271,0,1350,168.11955168119553,0.1656288916562889,0.08343711083437111,107,803,0.32627646326276466,0.0,0.0,0.0,0.0,0,3,13
48405,2,2252,138.24432166973602,0.1289134438305709,0.057704112952731736,105,1629,0.3474524248004911,0.0,0.8333333333333334,5.0,0.15151515151515152,4,1,20
70411,2,863,146.02368866328257,0.12690355329949238,0.07445008460236886,85,591,0.34856175972927245,0.0,0.8055555555555556,5.0,0.08333333333333333,2,0,10
8999,0,1497,132.24381625441697,0.11307420494699646,0.053003533568904596,100,1132,0.3365724381625442,0.0,0.0,0.0,0.0,0,1,10
63224,2,366,157.75862068965517,0.1853448275862069,0.05603448275862069,45,232,0.3448275862068966,0.022222222222222223,0.945054945054945,5.0,0.10256410256410256,3,0,0
49040,2,824,196.65871121718376,0.10978520286396182,0.16945107398568018,87,419,0.2840095465393795,0.0,1.2687224669603525,5.0,0.1013215859030837,4,0,9
70633,2,469,156.8561872909699,0.15719063545150502,0.07357859531772576,91,299,0.31438127090301005,0.0,1.2058823529411764,5.0,0.09243697478991597,3,0,3
49108,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.1541666666666666,5.0,0.07916666666666666,3,0,0
53716,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.1372549019607843,5.0,0.11274509803921569,4,0,0
70640,2,16,145.45454545454547,0.0,0.09090909090909091,16,11,0.18181818181818182,0.020618556701030927,1.029109589041096,5.0,0.0976027397260274,4,0,0
52290,0,291,171.17647058823528,0.18823529411764706,0.07647058823529412,91,170,0.3058823529411765,0.0,0.0,0.0,0.0,0,0,3
10384,0,964,147.8527607361963,0.1579754601226994,0.06595092024539877,81,652,0.3773006134969325,0.0,0.0,0.0,0.0,0,0,6
15716,2,1475,146.91235059760956,0.150398406374502,0.053784860557768925,87,1004,0.31175298804780877,0.0,0.9473684210526315,5.0,0.11842105263157894,2,0,13
