_id,Player Occupation,Total Runs Scored in all matches combined,strike rate in all matches combined,no. of fours/ no. of balls played,no. of sixes/ no. of balls played,highest runs scored in a match,Balls Played till now,no. of dot_balls/ no. of balls played,maiden_overs/ floor(overs played),run conceded/ no. of balls played,Average Economy Rate,no. of wickets/ no. of balls played,highest wickets taken in a match,total_centuries,total_halfcenturies
35812,0,605,135.3467561521253,0.15212527964205816,0.042505592841163314,74,447,0.38478747203579416,0.0,0.0,0.0,0.0,0,0,6
8813,0,1203,149.25558312655087,0.16129032258064516,0.04466501240694789,83,806,0.29156327543424315,0.0,0.0,0.0,0.0,0,0,9
45554,2,944,155.008210180624,0.1510673234811166,0.090311986863711,87,609,0.4220032840722496,0.0,1.4,5.0,0.13333333333333333,2,0,11
53549,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.3866666666666667,5.0,0.08,3,0,0
48319,2,18,120.0,0.06666666666666667,0.13333333333333333,18,15,0.6666666666666666,0.07936507936507936,0.9396325459317585,5.0,0.07611548556430446,3,0,0
7458,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.2182539682539681,5.0,0.09523809523809523,4,0,0
51098,2,28,147.36842105263156,0.0,0.10526315789473684,28,19,0.21052631578947367,0.08888888888888889,1.1094890510948905,5.0,0.08759124087591241,4,0,0
84649,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0625,5.0,0.0625,2,0,0
7773,0,1867,128.14001372683597,0.15305422100205904,0.011667810569663692,90,1457,0.3287577213452299,0.0,0.0,0.0,0.0,0,0,20
54340,0,597,155.8746736292428,0.15404699738903394,0.08093994778067885,93,383,0.3577023498694517,0.0,0.0,0.0,0.0,0,0,6
8742,0,2093,143.6513383665065,0.1455044612216884,0.05628002745367193,87,1457,0.3575840768702814,0.0,0.0,0.0,0.0,0,0,15
51454,0,1258,136.2946912242687,0.11592632719393282,0.050920910075839654,94,923,0.3261105092091008,0.0,0.0,0.0,0.0,0,0,10
15473,2,1392,170.79754601226992,0.13496932515337423,0.10797546012269939,100,815,0.3006134969325153,0.0,1.115702479338843,5.0,0.09917355371900827,2,1,11
61990,0,1264,167.86188579017264,0.17264276228419656,0.07569721115537849,102,753,0.29349269588313415,0.0,0.0,0.0,0.0,0,1,14
49496,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.212962962962963,5.0,0.12037037037037036,3,0,0
47185,2,34,109.6774193548387,0.0967741935483871,0.06451612903225806,21,31,0.5483870967741935,0.0,1.1081081081081081,5.0,0.08108108108108109,4,0,0
67609,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.2751937984496124,5.0,0.08914728682170543,4,0,0
49039,2,275,223.57723577235774,0.23577235772357724,0.17073170731707318,54,123,0.3821138211382114,0.018691588785046728,0.9689922480620154,5.0,0.08527131782945736,4,0,2
51092,1,0,0.0,0.0,0.0,0,0,0.0,0.04819277108433735,1.1546184738955823,5.0,0.0783132530120482,3,0,0
9952,0,74,127.58620689655173,0.08620689655172414,0.05172413793103448,58,58,0.3275862068965517,0.0,0.0,0.0,0.0,0,0,1
66358,0,351,169.56521739130434,0.17391304347826086,0.07246376811594203,95,207,0.3333333333333333,0.0,0.0,0.0,0.0,0,0,2
51216,0,754,135.12544802867384,0.15232974910394265,0.03046594982078853,68,558,0.34229390681003585,0.0,0.0,0.0,0.0,0,0,7
67455,2,370,143.96887159533074,0.09727626459143969,0.07782101167315175,57,257,0.3229571984435798,0.0,1.061705989110708,5.0,0.0780399274047187,4,0,1
54222,2,787,176.457399103139,0.1681614349775785,0.08744394618834081,95,446,0.273542600896861,0.0,1.2916666666666667,5.0,0.09375,2,0,7
53891,0,1257,164.31372549019608,0.11372549019607843,0.09542483660130718,101,765,0.27058823529411763,0.0,0.0,0.0,0.0,0,1,13
54212,2,558,163.1578947368421,0.14327485380116958,0.08771929824561403,124,342,0.30701754385964913,0.0,1.5833333333333333,5.0,0.125,3,1,4
49096,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.5555555555555556,5.0,0.1111111111111111,2,0,0
66722,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.270103092783505,5.0,0.11134020618556702,5,0,0
61797,1,0,0.0,0.0,0.0,0,0,0.0,0.05263157894736842,1.1973684210526316,5.0,0.08333333333333333,4,0,0
79597,1,0,0.0,0.0,0.0,0,0,0.0,0.045454545454545456,1.2954545454545454,5.0,0.08333333333333333,4,0,0
44853,2,25,192.30769230769232,0.07692307692307693,0.15384615384615385,25,13,0.23076923076923078,0.0,1.3680555555555556,5.0,0.0763888888888889,2,0,0
95219,1,0,0.0,0.0,0.0,0,0,0.0,0.01282051282051282,1.0533049040511726,5.0,0.08528784648187633,4,0,0
75995,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
66253,2,21,91.30434782608695,0.08695652173913043,0.0,21,23,0.34782608695652173,0.0,1.0625,5.0,0.09659090909090909,3,0,0
51050,2,33,132.0,0.12,0.04,33,25,0.32,0.0,1.2173913043478262,5.0,0.09937888198757763,3,0,0
66371,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.2083333333333333,5.0,0.08333333333333333,2,0,0
55296,0,35,129.62962962962962,0.1111111111111111,0.07407407407407407,35,27,0.4074074074074074,0.0,0.0,0.0,0.0,0,0,0
52241,0,106,165.625,0.0625,0.109375,56,64,0.234375,0.0,0.0,0.0,0.0,0,0,1
59600,0,485,151.5625,0.16875,0.053125,83,320,0.33125,0.0,0.0,0.0,0.0,0,0,5
60806,0,1576,153.0097087378641,0.11844660194174757,0.07766990291262135,119,1030,0.30097087378640774,0.0,0.0,0.0,0.0,0,1,13
86165,0,1296,155.58223289315725,0.1404561824729892,0.07683073229291716,97,833,0.32292917166866747,0.0,0.0,0.0,0.0,0,0,8
61832,2,221,202.75229357798165,0.11926605504587157,0.1559633027522936,82,109,0.22935779816513763,0.0,1.1272727272727272,5.0,0.09545454545454546,4,0,2
62457,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.4883720930232558,5.0,0.10465116279069768,3,0,0
64244,2,155,254.0983606557377,0.14754098360655737,0.26229508196721313,66,61,0.29508196721311475,0.015625,1.3316195372750643,5.0,0.08226221079691516,4,0,2
12562,2,75,92.5925925925926,0.1111111111111111,0.0,31,81,0.41975308641975306,0.02158273381294964,1.0227817745803358,5.0,0.09592326139088729,5,0,0
15308,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0833333333333333,5.0,0.07575757575757576,2,0,0
7678,1,0,0.0,0.0,0.0,0,0,0.0,0.014925373134328358,1.108641975308642,5.0,0.09876543209876543,4,0,0
75993,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.2975206611570247,5.0,0.10743801652892562,3,0,0
96752,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
7139,2,118,171.0144927536232,0.13043478260869565,0.13043478260869565,64,69,0.391304347826087,0.02830188679245283,1.0608424336973479,5.0,0.08892355694227769,5,0,1
45105,2,17,106.25,0.0625,0.0625,17,16,0.4375,0.026785714285714284,1.0460624071322437,5.0,0.09212481426448738,4,0,0
69114,1,0,0.0,0.0,0.0,0,0,0.0,0.05263157894736842,1.2894736842105263,5.0,0.08771929824561403,3,0,0
57444,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.4077669902912622,5.0,0.07766990291262135,2,0,0
46533,0,1523,161.33474576271186,0.13241525423728814,0.0847457627118644,90,944,0.2955508474576271,0.0,0.0,0.0,0.0,0,0,16
46933,0,1637,145.6405693950178,0.13701067615658363,0.05516014234875445,87,1124,0.3104982206405694,0.0,0.0,0.0,0.0,0,0,16
61999,0,717,158.6283185840708,0.16592920353982302,0.07079646017699115,93,452,0.334070796460177,0.0,0.0,0.0,0.0,0,0,7
51057,2,181,179.20792079207922,0.15841584158415842,0.10891089108910891,95,101,0.3069306930693069,0.0,1.5416666666666667,5.0,0.08333333333333333,1,0,1
63509,0,326,139.91416309012877,0.13304721030042918,0.055793991416309016,63,233,0.33476394849785407,0.0,0.0,0.0,0.0,0,0,5
54674,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.295774647887324,5.0,0.07042253521126761,3,0,0
47231,2,99,128.57142857142858,0.1038961038961039,0.06493506493506493,37,77,0.37662337662337664,0.0,0.5882352941176471,5.0,0.11764705882352941,3,0,0
58274,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.182051282051282,5.0,0.08461538461538462,3,0,0
49327,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.2655889145496535,5.0,0.08314087759815242,5,0,0
49752,0,2887,141.17359413202934,0.1310513447432763,0.0488997555012225,108,2045,0.31149144254278727,0.0,0.0,0.0,0.0,0,2,24
45772,1,0,0.0,0.0,0.0,0,0,0.0,0.14285714285714285,0.9047619047619048,5.0,0.14285714285714285,4,0,0
75325,0,895,160.3942652329749,0.13978494623655913,0.08960573476702509,99,558,0.3279569892473118,0.0,0.0,0.0,0.0,0,0,10
49247,2,522,130.5,0.1025,0.0425,50,400,0.3225,0.011494252873563218,1.0549242424242424,5.0,0.10795454545454546,5,0,1
62500,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.3666666666666667,5.0,0.075,2,0,0
60609,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.9333333333333333,5.0,0.06666666666666667,2,0,0
63477,2,24,126.3157894736842,0.10526315789473684,0.05263157894736842,24,19,0.3684210526315789,0.0,1.457236842105263,5.0,0.10197368421052631,4,0,0
64402,1,0,0.0,0.0,0.0,0,0,0.0,0.027777777777777776,0.9634703196347032,5.0,0.0958904109589041,4,0,0
71331,0,1082,139.79328165374676,0.14082687338501293,0.04392764857881137,96,774,0.3178294573643411,0.0,0.0,0.0,0.0,0,0,11
47055,0,439,135.91331269349845,0.1021671826625387,0.07430340557275542,66,323,0.3653250773993808,0.0,0.0,0.0,0.0,0,0,2
77835,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,5.0,0.08333333333333333,2,0,0
47100,1,0,0.0,0.0,0.0,0,0,0.0,0.038461538461538464,0.9,5.0,0.10625,4,0,0
62153,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
59261,2,24,141.1764705882353,0.11764705882352941,0.058823529411764705,24,17,0.35294117647058826,0.022222222222222223,1.4259259259259258,5.0,0.09259259259259259,5,0,0
47023,2,154,128.33333333333334,0.016666666666666666,0.08333333333333333,40,120,0.25833333333333336,0.0,1.2254901960784315,5.0,0.08823529411764706,3,0,0
63646,1,0,0.0,0.0,0.0,0,0,0.0,0.02702702702702703,1.2027027027027026,5.0,0.07882882882882883,4,0,0
49958,1,0,0.0,0.0,0.0,0,0,0.0,0.045454545454545456,1.2014925373134329,5.0,0.05970149253731343,2,0,0
46888,2,48,165.51724137931035,0.13793103448275862,0.10344827586206896,31,29,0.3103448275862069,0.0,0.84375,5.0,0.15625,4,0,0
66726,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.4166666666666667,5.0,0.08333333333333333,2,0,0
54283,1,0,0.0,0.0,0.0,0,0,0.0,0.05555555555555555,1.08675799086758,5.0,0.0776255707762557,3,0,0
51088,0,825,136.58940397350995,0.1076158940397351,0.04966887417218543,84,604,0.2913907284768212,0.0,0.0,0.0,0.0,0,0,11
87477,1,0,0.0,0.0,0.0,0,0,0.0,0.02531645569620253,1.3016877637130801,5.0,0.08860759493670886,4,0,0
62051,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0416666666666667,5.0,0.041666666666666664,1,0,0
10129,0,946,145.53846153846152,0.1523076923076923,0.04923076923076923,95,650,0.32,0.0,0.0,0.0,0.0,0,0,11
66725,2,104,113.04347826086956,0.15217391304347827,0.010869565217391304,65,92,0.391304347826087,0.0,1.0666666666666667,5.0,0.13333333333333333,2,0,1
48277,2,73,173.80952380952382,0.19047619047619047,0.07142857142857142,46,42,0.23809523809523808,0.0,1.2222222222222223,5.0,0.08080808080808081,2,0,0
50483,2,67,167.5,0.1,0.1,35,40,0.25,0.047619047619047616,1.1468253968253967,5.0,0.0992063492063492,3,0,0
10130,1,0,0.0,0.0,0.0,0,0,0.0,0.02631578947368421,1.1535087719298245,5.0,0.09649122807017543,3,0,0
67296,2,44,112.82051282051282,0.10256410256410256,0.02564102564102564,44,39,0.3333333333333333,0.0,1.1364522417153997,5.0,0.09746588693957114,4,0,0
75311,2,87,167.30769230769232,0.19230769230769232,0.057692307692307696,40,52,0.2692307692307692,0.0,0.8492063492063492,5.0,0.07936507936507936,3,0,0
64767,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
96401,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
81195,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
15731,2,71,133.96226415094338,0.05660377358490566,0.07547169811320754,39,53,0.2830188679245283,0.0,1.189102564102564,5.0,0.09294871794871795,4,0,0
51054,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
96768,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
49357,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
54385,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
48927,0,50,185.1851851851852,0.2222222222222222,0.1111111111111111,50,27,0.37037037037037035,0.0,0.0,0.0,0.0,0,0,1
58299,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.8309859154929577,5.0,0.09859154929577464,2,0,0
11399,2,264,156.2130177514793,0.09467455621301775,0.09467455621301775,60,169,0.3076923076923077,0.06818181818181818,1.070631970260223,5.0,0.06691449814126393,2,0,1
51181,1,0,0.0,0.0,0.0,0,0,0.0,0.047619047619047616,1.1666666666666667,5.0,0.1111111111111111,3,0,0
10238,2,26,108.33333333333333,0.08333333333333333,0.041666666666666664,26,24,0.5,0.0,0.4166666666666667,5.0,0.08333333333333333,1,0,0
45256,0,381,140.59040590405905,0.13284132841328414,0.06273062730627306,100,271,0.3837638376383764,0.0,0.0,0.0,0.0,0,1,4
60628,2,424,148.7719298245614,0.13333333333333333,0.08070175438596491,53,285,0.37894736842105264,0.0,1.1533333333333333,5.0,0.06666666666666667,3,0,1
64947,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
15317,0,336,123.07692307692308,0.0695970695970696,0.054945054945054944,50,273,0.32234432234432236,0.0,0.0,0.0,0.0,0,0,1
10556,2,51,110.86956521739131,0.08695652173913043,0.021739130434782608,26,46,0.34782608695652173,0.019230769230769232,1.1794871794871795,5.0,0.09935897435897435,4,0,0
59260,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.3932346723044398,5.0,0.09302325581395349,4,0,0
73507,2,12,300.0,0.0,0.5,12,4,0.5,0.030303030303030304,1.1527093596059113,5.0,0.12807881773399016,4,0,0
51189,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
51421,1,0,0.0,0.0,0.0,0,0,0.0,0.058823529411764705,1.2476190476190476,5.0,0.10476190476190476,4,0,0
61413,0,150,154.63917525773198,0.12371134020618557,0.09278350515463918,55,97,0.35051546391752575,0.0,0.0,0.0,0.0,0,0,1
96617,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.2575757575757576,5.0,0.09090909090909091,4,0,0
45257,2,295,131.69642857142858,0.11607142857142858,0.0625,70,224,0.41964285714285715,0.01,1.1148086522462561,5.0,0.09484193011647254,3,0,3
56993,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.5833333333333334,5.0,0.20833333333333334,5,0,0
60530,0,2036,140.70490670352453,0.1161022805805114,0.05597788527988943,98,1447,0.3075328265376641,0.0,0.0,0.0,0.0,0,0,22
12894,2,101,165.5737704918033,0.11475409836065574,0.09836065573770492,45,61,0.2786885245901639,0.012903225806451613,1.025695931477516,5.0,0.08029978586723768,3,0,0
90165,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.4166666666666667,5.0,0.08333333333333333,2,0,0
49106,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
75591,0,357,168.39622641509433,0.1320754716981132,0.10849056603773585,67,212,0.30660377358490565,0.0,0.0,0.0,0.0,0,0,4
51012,2,795,204.3701799485861,0.13624678663239073,0.18766066838046272,70,389,0.3496143958868895,0.0,1.3104693140794224,5.0,0.10830324909747292,4,0,6
58406,0,1231,144.14519906323184,0.16744730679156908,0.040983606557377046,108,854,0.33021077283372363,0.0,0.0,0.0,0.0,0,1,11
71335,0,112,140.0,0.125,0.0375,67,80,0.25,0.0,0.0,0.0,0.0,0,0,1
96758,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
53268,2,44,176.0,0.08,0.16,44,25,0.28,0.0,1.6666666666666667,5.0,0.16666666666666666,1,0,0
60737,2,23,176.9230769230769,0.07692307692307693,0.15384615384615385,23,13,0.23076923076923078,0.0,1.0555555555555556,5.0,0.08333333333333333,2,0,0
56596,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.194331983805668,5.0,0.08502024291497975,4,0,0
53439,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.4583333333333333,5.0,0.16666666666666666,2,0,0
67312,2,54,150.0,0.05555555555555555,0.08333333333333333,54,36,0.25,0.0,1.7,5.0,0.125,3,0,1
68065,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
95316,0,1212,136.02693602693603,0.1324354657687991,0.037037037037037035,104,891,0.31200897867564537,0.0,0.0,0.0,0.0,0,1,11
96417,1,0,0.0,0.0,0.0,0,0,0.0,0.05555555555555555,0.908256880733945,5.0,0.09174311926605505,4,0,0
49342,0,814,126.3975155279503,0.12422360248447205,0.040372670807453416,89,644,0.40062111801242234,0.0,0.0,0.0,0.0,0,0,7
61634,0,292,166.85714285714286,0.08571428571428572,0.11428571428571428,64,175,0.24571428571428572,0.0,0.0,0.0,0.0,0,0,2
71341,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
72379,2,24,218.18181818181816,0.2727272727272727,0.09090909090909091,24,11,0.18181818181818182,0.0,0.9027777777777778,5.0,0.05555555555555555,2,0,0
95315,0,552,172.5,0.215625,0.065625,99,320,0.303125,0.0,0.0,0.0,0.0,0,0,5
45443,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.125,5.0,0.041666666666666664,1,0,0
45222,2,430,120.78651685393258,0.08426966292134831,0.0449438202247191,59,356,0.35674157303370785,0.0,0.9305555555555556,5.0,0.1111111111111111,4,0,4
81197,2,86,156.36363636363637,0.07272727272727272,0.12727272727272726,34,55,0.34545454545454546,0.0,1.2222222222222223,5.0,0.05555555555555555,1,0,0
67586,1,0,0.0,0.0,0.0,0,0,0.0,0.14285714285714285,1.0930232558139534,5.0,0.09302325581395349,3,0,0
49532,0,45,145.16129032258064,0.0967741935483871,0.0967741935483871,45,31,0.3548387096774194,0.0,0.0,0.0,0.0,0,0,0
66116,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.3280423280423281,5.0,0.09523809523809523,3,0,0
96757,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.8979591836734695,5.0,0.08163265306122448,2,0,0
66941,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.125,5.0,0.08333333333333333,3,0,0
68885,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
53121,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0833333333333333,5.0,0.041666666666666664,1,0,0
84635,1,0,0.0,0.0,0.0,0,0,0.0,0.06666666666666667,1.1777777777777778,5.0,0.08888888888888889,3,0,0
46597,2,136,144.6808510638298,0.13829787234042554,0.07446808510638298,56,94,0.4148936170212766,0.0,0.8670520231213873,5.0,0.11560693641618497,4,0,1
52539,0,43,93.47826086956522,0.13043478260869565,0.0,43,46,0.5217391304347826,0.0,0.0,0.0,0.0,0,0,0
64741,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
49035,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
95320,2,471,186.16600790513834,0.1857707509881423,0.10276679841897234,75,253,0.2845849802371542,0.0,1.1904761904761905,5.0,0.07142857142857142,2,0,4
89165,1,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0416666666666667,5.0,0.041666666666666664,1,0,0
67090,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
87603,1,0,0.0,0.0,0.0,0,0,0.0,0.04878048780487805,1.352,5.0,0.1,3,0,0
72393,0,370,188.77551020408163,0.09183673469387756,0.14795918367346939,75,196,0.23979591836734693,0.0,0.0,0.0,0.0,0,0,3
