name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, LucknowBharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,4069,179,23,117,12
"Rajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, HyderabadRajiv Gandhi International Stadium, Uppal, Hyderabad",13,4540,146,21,102,10
"M Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, BengaluruM Chinnaswamy Stadium, Bengaluru",14,5040,179,21,128,7
"Barsapara Cricket Stadium, GuwahatiBarsapara Cricket Stadium, GuwahatiBarsapara Cricket Stadium, Guwahati",3,980,39,6,23,4
"Sawai Mansingh Stadium, JaipurSawai Mansingh Stadium, JaipurSawai Mansingh Stadium, JaipurSawai Mansingh Stadium, JaipurSawai Mansingh Stadium, JaipurSawai Mansingh Stadium, JaipurSawai Mansingh Stadium, JaipurSawai Mansingh Stadium, JaipurSawai Mansingh Stadium, JaipurSawai Mansingh Stadium, Jaipur",10,3273,107,17,67,11
"Himachal Pradesh Cricket Association Stadium, DharamsalaHimachal Pradesh Cricket Association Stadium, DharamsalaHimachal Pradesh Cricket Association Stadium, DharamsalaHimachal Pradesh Cricket Association Stadium, Dharamsala",4,1456,55,10,33,5
"Maharaja Yadavindra Singh International Cricket Stadium, MullanpurMaharaja Yadavindra Singh International Cricket Stadium, MullanpurMaharaja Yadavindra Singh International Cricket Stadium, MullanpurMaharaja Yadavindra Singh International Cricket Stadium, MullanpurMaharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,1593,80,10,56,4
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, VisakhapatnamDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,738,28,4,22,0
"Punjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, MohaliPunjab Cricket Association Stadium, Mohali",35,10421,425,80,254,24
"MA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, ChepaukMA Chidambaram Stadium, Chepauk",48,14472,586,82,370,26
Dr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports AcademyDr DY Patil Sports Academy,17,4490,222,33,148,10
NewlandsNewlandsNewlandsNewlandsNewlandsNewlandsNewlands,7,1684,97,12,64,2
St George's ParkSt George's ParkSt George's ParkSt George's ParkSt George's ParkSt George's ParkSt George's Park,7,1904,80,11,47,8
KingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmeadKingsmead,15,4076,203,29,128,15
SuperSport ParkSuperSport ParkSuperSport ParkSuperSport ParkSuperSport ParkSuperSport ParkSuperSport ParkSuperSport ParkSuperSport ParkSuperSport ParkSuperSport ParkSuperSport Park,12,3440,138,25,75,11
Buffalo ParkBuffalo ParkBuffalo Park,3,742,39,8,23,2
New Wanderers StadiumNew Wanderers StadiumNew Wanderers StadiumNew Wanderers StadiumNew Wanderers StadiumNew Wanderers StadiumNew Wanderers StadiumNew Wanderers Stadium,8,2184,98,17,58,4
De Beers Diamond OvalDe Beers Diamond OvalDe Beers Diamond Oval,3,858,44,6,17,4
OUTsurance OvalOUTsurance Oval,2,488,27,4,17,1
Brabourne StadiumBrabourne StadiumBrabourne StadiumBrabourne StadiumBrabourne StadiumBrabourne StadiumBrabourne StadiumBrabourne StadiumBrabourne StadiumBrabourne Stadium,10,3263,121,24,71,9
"Sardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, MoteraSardar Patel Stadium, Motera",12,3589,149,26,80,5
Barabati StadiumBarabati StadiumBarabati StadiumBarabati StadiumBarabati StadiumBarabati StadiumBarabati Stadium,7,2195,80,24,42,1
"Vidarbha Cricket Association Stadium, JamthaVidarbha Cricket Association Stadium, JamthaVidarbha Cricket Association Stadium, Jamtha",3,822,50,7,32,2
Himachal Pradesh Cricket Association StadiumHimachal Pradesh Cricket Association StadiumHimachal Pradesh Cricket Association StadiumHimachal Pradesh Cricket Association StadiumHimachal Pradesh Cricket Association StadiumHimachal Pradesh Cricket Association StadiumHimachal Pradesh Cricket Association StadiumHimachal Pradesh Cricket Association StadiumHimachal Pradesh Cricket Association Stadium,9,2720,108,18,73,7
Nehru StadiumNehru StadiumNehru StadiumNehru StadiumNehru Stadium,5,1286,63,13,34,7
Subrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara StadiumSubrata Roy Sahara Stadium,16,4296,191,36,101,12
Shaheed Veer Narayan Singh International StadiumShaheed Veer Narayan Singh International StadiumShaheed Veer Narayan Singh International StadiumShaheed Veer Narayan Singh International StadiumShaheed Veer Narayan Singh International StadiumShaheed Veer Narayan Singh International Stadium,6,1664,61,7,45,1
JSCA International Stadium ComplexJSCA International Stadium ComplexJSCA International Stadium ComplexJSCA International Stadium ComplexJSCA International Stadium ComplexJSCA International Stadium ComplexJSCA International Stadium Complex,7,1956,82,16,44,9
