name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
Green ParkGreen ParkGreen ParkGreen Park,4,1236,49,13,27,3
Punjab Cricket Association IS Bindra StadiumPunjab Cricket Association IS Bindra StadiumPunjab Cricket Association IS Bindra StadiumPunjab Cricket Association IS Bindra StadiumPunjab Cricket Association IS Bindra StadiumPunjab Cricket Association IS Bindra StadiumPunjab Cricket Association IS Bindra StadiumPunjab Cricket Association IS Bindra StadiumPunjab Cricket Association IS Bindra StadiumPunjab Cricket Association IS Bindra Stadium,10,3334,97,16,63,12
Rajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International StadiumRajiv Gandhi International Stadium,15,4439,175,30,120,17
MA Chidambaram StadiumMA Chidambaram StadiumMA Chidambaram StadiumMA Chidambaram StadiumMA Chidambaram StadiumMA Chidambaram StadiumMA Chidambaram StadiumMA Chidambaram StadiumMA Chidambaram Stadium,9,2463,102,11,70,4
Sawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh StadiumSawai Mansingh Stadium,47,13473,520,100,311,26
Arun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley StadiumArun Jaitley Stadium,14,4351,162,29,109,9
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket StadiumDr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,3585,166,32,104,11
Sheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed StadiumSheikh Zayed Stadium,29,8467,321,61,210,24
Dubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket StadiumDubai International Cricket Stadium,46,13753,525,89,362,28
Sharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket StadiumSharjah Cricket Stadium,28,8159,320,73,199,21
