player_id,name,matches,strike rate in all matches combined,Strike rate denominator,Total Runs Scored in all matches combined,no. of fours,no. of sixes,highest runs scored in a match,Balls Played till now,no. of dot_balls,maiden_overs,run conceded,Average Economy Rate Denominator,Average Economy Rate,no. of wickets,no. of balls thrown,highest wickets taken in a match,total centuries,total halfcenturies,total catches,total stumps,total direct_runouts,total indirect_runouts,total avg fp
530b20e3,JRMVB Sanjaya,8,,5,20,3,0,6,18,59,0,257,8,9.138750000000002,9,173,2,0,0,1,0,0,0,41.5
5748e866,TD Paine,14,,10,92,7,3,25,103,0,0,0,0,0.0,0,0,0,0,0,11,2,0,2,19.142857142857142
a12e1d51,SL Malinga,198,,47,171,12,7,17,217,1877,7,5596,198,7.428939393939395,271,4518,5,0,0,37,0,4,9,54.43939393939392
79aad751,PADLR Sandakan,20,,7,23,2,0,10,38,158,0,568,20,7.407500000000001,23,460,4,0,0,6,0,0,0,45.00000000000001
12b610c2,TM Head,62,142.58803278688524,61,1865,190,93,102,1118,16,0,169,10,0.0,3,94,2,1,11,11,0,0,0,59.741935483870975
b8d490fd,AJ Finch,195,116.99968911917101,193,5212,523,203,172,3806,17,0,94,7,0.0,1,55,1,2,36,79,0,3,3,51.17948717948717
ded9240e,PJ Cummins,113,,60,670,44,41,66,463,1016,6,3512,113,8.378407079646015,126,2531,4,0,3,30,0,3,0,52.86725663716814
5a22d91c,EMDY Munaweera,13,115.4976923076923,13,215,25,7,53,164,15,0,93,5,0.0,1,60,1,0,1,1,0,0,0,33.61538461538461
b970a03f,M Klinger,7,103.23714285714287,7,216,21,2,62,186,0,0,0,0,0.0,0,0,0,0,1,2,0,0,0,50.0
45963d9e,N Dickwella,28,115.19192307692309,26,480,61,9,68,366,0,0,0,0,0.0,0,0,0,0,1,12,1,0,0,33.85714285714285
770494eb,DAS Gunaratne,12,94.85166666666665,12,225,19,6,84,178,37,0,206,10,9.593,5,149,1,0,2,5,0,1,0,49.583333333333336
f78e7113,S Prasanna,20,127.50600000000001,20,214,13,13,37,161,101,1,362,18,7.453333333333331,10,300,2,0,0,4,0,1,0,41.25
32198ae0,MC Henriques,86,119.49693333333332,75,1355,104,43,74,1069,362,0,1499,70,0.0,49,1088,3,0,7,34,0,1,1,48.34883720930232
6834d1f2,B Stanlake,25,,3,14,1,1,7,14,271,2,756,25,8.299999999999997,34,564,4,0,0,1,0,0,0,49.56
7c7d63a2,AJ Tye,62,,27,174,11,9,25,151,473,1,2007,61,8.912131147540991,89,1367,5,0,0,18,0,0,0,53.29032258064516
808f425a,JP Faulkner,84,129.715873015873,63,686,43,28,46,521,607,1,2548,84,8.807619047619053,97,1753,5,0,0,27,0,3,5,55.976190476190474
bf7842c9,TAM Siriwardana,21,106.22473684210527,19,275,16,12,42,205,47,0,192,12,0.0,8,132,2,0,0,6,0,0,0,36.476190476190474
469ea22b,KMDN Kulasekara,61,,30,201,15,5,31,180,574,5,1611,61,7.451311475409839,69,1285,4,0,0,21,0,3,5,51.67213114754097
14f96089,A Zampa,113,,23,73,7,0,13,91,841,1,2992,112,7.487946428571428,142,2428,6,0,0,16,0,0,0,46.51327433628319
7ed9fd56,WU Tharanga,18,0.0,18,293,32,9,47,231,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,29.055555555555557
cfad138c,CK Kapugedera,43,110.14108108108107,37,657,55,22,50,562,0,0,49,3,0.0,0,17,0,0,1,19,0,2,2,29.558139534883725
ff1e12a0,AJ Turner,25,68.1575,20,134,4,4,24,158,36,0,83,6,6.166666666666667,4,78,2,0,0,7,0,0,0,14.48
272d796e,BR Dunk,8,130.13375,8,139,15,6,32,103,0,0,0,0,0.0,0,0,0,0,0,8,2,0,1,43.125
5d1e7582,BKG Mendis,72,110.65013888888888,72,1810,154,77,86,1367,0,0,0,0,0.0,0,0,0,0,15,30,12,2,8,50.02777777777778
1ee08e9a,JA Richardson,22,0.0,11,62,5,1,15,77,191,0,723,22,8.935454545454546,22,486,3,0,0,11,0,0,0,42.77272727272727
3ff033bb,MD Shanaka,98,0.0,91,1454,106,72,74,1189,152,1,654,49,8.846530612244898,30,474,3,0,5,36,0,3,1,38.00000000000001
f6c2659d,Aizaz Khan,80,98.01611940298504,67,945,66,27,48,848,549,3,1797,73,8.146301369863014,86,1373,4,0,0,21,0,3,3,58.05
243431b5,KJ O'Brien,81,114.916447368421,76,1571,133,66,124,1184,235,0,714,34,7.825882352941176,44,599,3,1,4,34,0,0,1,55.30864197530864
91f0792f,GJ Thompson,5,91.4,4,93,13,1,44,78,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,35.8
3979b5e0,L Tucker,61,95.88909090909092,55,1144,109,26,94,909,0,0,0,0,0.0,0,0,0,0,8,47,5,1,3,38.163934426229496
2cc08c3c,Shahid Wasif,23,97.62999999999998,21,322,23,10,50,305,0,0,0,0,0.0,0,0,0,0,1,12,0,0,1,26.608695652173914
6b64e7a3,J Mulder,3,20.0,1,1,0,0,1,5,32,0,61,3,5.083333333333333,7,72,4,0,0,1,0,0,0,78.66666666666667
ab859427,DA Rankin,1,88.24,1,15,1,1,15,17,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,25.0
7f87204d,SP Terry,1,66.67,1,4,0,0,4,6,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,12.0
bd0a4a7d,CA Young,60,52.641999999999996,20,70,5,2,22,96,493,1,1687,59,8.377118644067794,78,1226,4,0,0,10,0,0,0,47.21666666666666
d3851cd8,Ehsan Khan,74,79.39785714285715,42,296,15,12,42,287,776,4,1661,73,6.275205479452055,112,1607,4,0,0,20,0,0,5,67.35135135135134
5f5ca1a7,Tanwir Afzal,16,90.79615384615384,13,156,6,11,56,130,162,0,373,16,7.859375,16,318,2,0,1,3,0,1,0,59.25
552b228c,Anshuman Rath,48,104.66249999999998,48,1011,104,13,72,905,63,0,258,12,0.0,5,201,3,0,4,19,0,0,2,41.39583333333333
6e161a33,JNK Shannon,7,0.0,7,109,12,5,60,81,1,0,11,1,0.0,0,6,0,0,1,0,0,0,0,29.428571428571427
ec02b798,WTS Porterfield,42,89.70756097560975,41,720,77,14,72,694,0,0,0,0,0.0,0,0,0,0,3,18,0,2,3,32.23809523809524
1e25b5bf,C Carter,8,,4,53,3,0,17,59,0,0,0,0,0.0,0,0,0,0,0,2,1,1,0,13.125
571f11e4,Tanveer Ahmed,4,,1,7,1,0,7,9,20,0,86,4,8.08,2,57,2,0,0,1,0,0,0,25.75
9061a703,J Little,66,0.0,23,123,10,3,22,141,635,2,1867,65,7.926153846153847,74,1444,4,0,0,19,0,0,1,46.333333333333336
fbb657bb,Babar Hayat,71,111.41925373134326,67,1721,107,104,122,1314,0,0,0,0,0.0,0,0,0,2,11,40,0,1,5,47.22535211267605
e957b38f,AR McBrine,22,124.38071428571425,14,134,10,4,36,108,120,0,389,19,9.144736842105264,19,330,2,0,0,9,0,0,0,43.590909090909086
70456281,Ehsan Nawaz,6,,2,9,2,0,9,5,29,0,104,6,10.353333333333333,4,64,2,0,0,2,0,0,1,28.333333333333332
023f6b02,Nadeem Ahmed,19,,8,32,2,0,10,50,180,2,417,19,6.88578947368421,23,381,4,0,0,8,0,0,0,51.8421052631579
e3eb9e46,Nizakat Khan,90,105.98103448275864,87,1896,158,64,81,1517,82,1,187,13,0.0,11,191,3,0,10,48,0,0,1,44.300000000000004
70d205c9,AT Rayudu,210,113.62578947368418,190,4390,364,173,100,3441,0,0,0,0,0.0,0,0,0,1,23,68,2,7,7,38.77142857142859
462411b3,JJ Bumrah,200,,30,76,6,1,16,91,2017,15,5436,200,7.121450000000002,254,4548,5,0,0,25,0,4,0,50.585
5fef85ee,R Mutumbami,20,0.0,18,264,17,14,54,222,0,0,0,0,0.0,0,0,0,0,1,17,5,1,1,33.1
c3a96caf,Mandeep Singh,114,103.0571,100,1793,187,39,77,1457,1,0,26,2,0.0,0,12,0,0,7,39,0,0,2,28.85964912280702
31fbf891,H Masakadza,52,97.36134615384617,52,1176,114,40,93,1048,19,0,89,7,0.0,1,54,1,0,7,21,0,0,0,42.65384615384616
2e171977,AR Patel,217,126.3212987012986,154,2176,146,102,66,1636,1547,3,5320,212,7.72952830188679,189,4306,4,0,4,95,0,3,6,53.16129032258065
57ee1fde,YS Chahal,240,,22,43,0,0,8,98,1848,6,7075,238,8.10306722689076,301,5285,6,0,0,44,0,1,5,45.15
b17e2f24,KL Rahul,201,0.0,188,6838,581,283,132,5010,0,0,0,0,0.0,0,0,0,6,63,101,8,3,5,63.890547263681626
1e66c162,JD Unadkat,115,,27,197,16,7,26,166,795,3,3525,114,9.205614035087724,113,2339,5,0,0,28,0,2,4,37.643478260869564
26f12506,CT Mutombodzi,13,67.83583333333333,12,113,8,2,32,120,50,0,170,8,0.0,5,138,2,0,0,2,0,0,2,29.384615384615383
f32dbc84,CJ Chibhabha,25,93.05833333333338,24,492,56,13,67,420,64,0,283,15,9.160666666666666,9,204,3,0,4,5,0,0,1,48.52
26d041c4,Sikandar Raza,98,108.88795698924733,93,2215,163,113,133,1623,523,3,1708,84,7.653690476190476,78,1448,5,1,15,39,0,2,6,73.20408163265306
d2babdd5,E Chigumbura,45,117.3277272727273,44,757,54,45,54,521,41,0,267,14,0.0,5,156,2,0,3,19,0,1,1,37.71111111111111
dbfb8218,DT Tiripano,16,,9,122,6,5,28,128,114,0,390,16,8.339375000000002,12,291,3,0,0,3,0,0,1,40.875000000000014
9f0270e0,AG Cremer,24,59.305714285714295,14,62,2,0,17,89,172,1,563,23,7.453043478260869,27,474,3,0,0,6,0,0,1,45.208333333333336
4a8a2e3b,MS Dhoni,349,133.37388704318934,301,6655,464,297,84,4902,0,0,0,0,0.0,0,0,0,0,26,202,76,18,50,41.091690544412586
