,Team,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
0,Bangladesh,7923a51d,0.0,1.0,1.0,1.0,0.0,0.5512534453340333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,95,0,0,95
1,Bangladesh,4d9f9686,0.1,0.7936507936507936,0.88,0.6666666666666666,1.0,0.49717810736317103,0.5,0.5,0.18181818181818182,0.0,0.3913043478260869,0.14285714285714285,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0,86,35,8,129
2,Bangladesh,bf1d7d3e,0.20000000000000004,0.23809523809523808,0.24,0.16666666666666666,0.0,0.5468784179901125,0.25,0.25,0.0,0.0,0.30434782608695654,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777777,0.0,0.0,0.0,0.0,0,19,0,0,19
3,Bangladesh,d365d463,0.30000000000000004,0.25396825396825395,0.14,0.16666666666666666,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,26,0,20,46
4,Bangladesh,0404d43c,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,Bangladesh,7dc35884,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5454545454545454,0.0,0.6086956521739131,0.2857142857142857,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.38888888888888884,1.0,0.0,0.0,0.0,0,0,33,8,41
6,Bangladesh,37138918,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
7,Bangladesh,9dad0f2e,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.09090909090909091,0.0,0.3913043478260869,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1
8,Bangladesh,b3a28446,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8181818181818182,0.0,0.5,0.2857142857142857,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.3194444444444444,0.0,0.0,0.0,0.0,0,0,71,0,71
9,Bangladesh,bb34fd31,0.9,0.0,0.0,0.0,0.0,0.0,0.75,0.75,1.0,0.0,0.3695652173913043,0.14285714285714285,0.5,0.6666666666666666,0.0,0.5,0.0,0.0,0.315,0.0,0.0,0.0,0.0,0,0,73,0,73
10,Bangladesh,0a8fce53,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8181818181818182,0.0,0.6739130434782609,0.42857142857142855,0.5,1.0,0.0,1.0,0.0,0.0,0.4305555555555555,0.0,0.0,0.0,0.0,0,0,104,0,104
11,Zimbabwe,a879b92c,0.0,0.36507936507936506,0.46,0.0,0.5,0.43750273439209,0.75,0.75,0.5454545454545454,0.0,0.5217391304347826,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,0.0,0.0,0,29,6,0,35
12,Zimbabwe,3d5d51a5,0.1,0.1111111111111111,0.14,0.0,0.5,0.43750273439209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,13
13,Zimbabwe,2f0d7e4a,0.20000000000000004,0.6825396825396826,0.44,0.8333333333333333,1.0,0.8550990943693398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,85,0,6,91
14,Zimbabwe,d96165b5,0.30000000000000004,0.5555555555555556,0.44,0.3333333333333333,0.0,0.696023100144376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,51,0,0,51
15,Zimbabwe,26d041c4,0.4,0.0,0.06,0.0,0.0,0.0,0.5,0.5,0.18181818181818182,0.0,0.34782608695652173,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0,-2,2,0,0
16,Zimbabwe,9f9b903e,0.5000000000000001,0.09523809523809523,0.12,0.16666666666666666,0.0,0.43750273439209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,10
17,Zimbabwe,b08252b8,0.6000000000000001,0.06349206349206349,0.12,0.0,0.0,0.2916830730192064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
18,Zimbabwe,b8704508,0.7000000000000001,0.2857142857142857,0.32,0.3333333333333333,0.0,0.49219057619110124,0.75,0.75,0.4545454545454546,0.0,0.6086956521739131,0.2857142857142857,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.5183333333333333,0.0,0.0,0.0,0.0,0,26,5,0,31
19,Zimbabwe,4bc0a378,0.8,0.06349206349206349,0.06,0.0,0.0,0.5833223957649736,0.75,0.75,0.36363636363636365,0.0,0.43478260869565216,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3705555555555555,0.0,0.0,0.0,1.0,0,4,6,6,16
