Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Hong Kong,JJ Atkinson,bf2d865c,1,14,11,1,1,127.27,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,24,0,8,32,34,True,False,False,,Right-hand bat
Hong Kong,Zeeshan Ali,987187b9,2,18,8,2,1,225.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,32,0,20,52,35,True,False,False,,Right-hand bat
Hong Kong,Nizakat Khan,e3eb9e46,3,17,8,2,1,212.5,"[14, 16]",2.0,12,11,1,2,0,0,1,0,0,0,0,1.0,1,0,0,0,0,31,54,8,93,32,True,False,True,Legbreak,Right-hand bat
Hong Kong,M Coetzee,3f149080,3,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,36,True,False,False,,Right-hand bat
Hong Kong,Yasim Murtaza,c9d05f1a,4,0,0,0,0,0.0,"[13, 15, 17, 19]",4.0,24,15,0,10,0,0,2,0,0,0,0,2.5,0,0,0,0,0,0,71,0,71,34,True,False,True,Slow left-arm orthodox,Left-hand bat
Hong Kong,Nasrulla Rana,9ffb7550,5,0,0,0,0,0.0,[8],1.0,6,4,0,2,0,0,1,0,0,0,0,2.0,0,0,0,0,0,0,29,0,29,22,True,False,True,Right-arm medium-fast,Right-hand bat
Hong Kong,Ehsan Khan,d3851cd8,6,0,0,0,0,0.0,"[10, 12, 18, 20]",4.0,24,15,0,10,0,0,1,0,1,0,1,2.5,0,0,0,0,0,0,54,0,54,40,True,False,False,Right-arm offbreak,Right-hand bat
Hong Kong,Anas Khan,66a7f213,7,0,0,0,0,0.0,"[5, 7, 9, 11]",4.0,24,18,0,9,1,0,2,0,0,0,0,2.25,2,0,0,0,0,0,74,16,90,32,True,False,False,Slow left-arm orthodox,Left-hand bat
Hong Kong,Ateeq Iqbal,29b322c7,8,0,0,0,0,0.0,"[2, 4, 6]",3.0,18,13,0,5,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,19,0,19,33,True,False,False,Right-arm medium,Right-hand bat
Hong Kong,A Shukla,a1e80d06,9,0,0,0,0,0.0,"[1, 3]",2.0,12,7,0,11,1,0,0,0,0,0,0,5.5,0,0,0,0,0,0,11,0,11,22,True,False,False,Right-arm medium,Right-hand bat
Hong Kong,Babar Hayat,fbb657bb,10,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,33,True,False,False,Right-arm medium,Right-hand bat
Myanmar,KK Lin Thu,6cf75582,1,15,21,2,0,71.43,[2],1.0,6,3,0,10,0,1,0,0,0,0,1,10.0,0,0,1,0,0,23,3,12,38,26,True,True,False,Right-arm medium-fast,Right-hand bat
Myanmar,H Lin Aung,c343a8c6,2,8,15,0,0,53.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,4,0,0,4,29,True,True,False,Right-arm offbreak,Right-hand bat
Myanmar,Nyeing Cham Soe,45b5ce8d,3,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,27,True,True,False,Right-arm medium-fast,Right-hand bat
Myanmar,Thuya Aung,2e092d2c,3,12,48,0,0,25.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,6,0,0,6,30,True,False,False,,Right-hand bat
Myanmar,Pyae Phyo Wai,09e86895,4,0,3,0,0,0.0,[5],0.5,3,1,0,2,0,0,0,0,0,0,0,4.0,0,0,0,0,0,-2,1,0,-1,25,True,True,False,Slow left-arm orthodox,Left-hand bat
Myanmar,Nay Lin Htun,5319f95b,4,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,25,True,True,False,Right-arm medium-fast,Right-hand bat
Myanmar,Myat Thu Aung,cebbf3c9,5,0,0,0,0,0.0,[1],1.0,6,2,0,11,2,0,0,0,0,0,0,11.0,0,0,0,0,0,0,2,0,2,20,True,True,False,Right-arm medium-fast,Right-hand bat
Myanmar,Paing Danu,1eb5affb,5,6,14,0,0,42.86,[4],1.0,6,3,0,8,2,0,0,0,0,0,0,8.0,0,0,0,0,-6,0,3,0,3,25,True,True,False,Right-arm medium-fast,Right-hand bat
Myanmar,H Lin Oo,2e005bfd,6,1,4,0,0,25.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,29,True,True,False,Right-arm medium-fast,Right-hand bat
Myanmar,Khin Aye,ad2efd29,7,1,7,0,0,14.29,[3],1.0,6,1,0,19,1,2,0,0,0,0,0,19.0,0,0,0,0,0,1,1,0,2,31,True,True,False,Right-arm medium-fast,Right-hand bat
Myanmar,Y Naing Tun,97b109d2,8,5,8,0,0,62.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5,31,True,False,False,,Right-hand bat
