Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Comilla Victorians,Imrul Kayes,5fbe14fc,1,0,3,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2,38,True,False,False,Slow left-arm orthodox,Left-hand bat
Comilla Victorians,Liton Das,0404d43c,2,3,5,0,0,60.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3,30,True,True,False,Right-arm offbreak,Right-hand bat
Comilla Victorians,MN Samuels,f846de6a,3,8,9,1,0,88.89,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,12,0,8,20,44,True,False,False,Right-arm offbreak,Right-hand bat
Comilla Victorians,Shuvagata Hom,bb01f9e0,4,4,3,1,0,133.33,[7],1.0,6,3,0,10,2,0,0,0,0,0,0,10.0,0,0,0,0,0,8,3,0,11,38,True,False,True,Right-arm offbreak,Right-hand bat
Comilla Victorians,DI Stevens,bca21d18,5,5,14,1,0,35.71,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,3,0,0,3,48,True,False,True,Right-arm medium,Right-hand bat
Comilla Victorians,Abu Hider,31803fac,6,0,0,0,0,0.0,"[9, 11, 17, 19]",4.0,24,11,0,17,1,0,2,0,1,0,0,4.25,0,0,0,0,0,0,75,0,75,29,True,False,True,Left-arm fast-medium,Right-hand bat
Comilla Victorians,Mahmudul Hasan,8c783a97,6,22,30,2,0,73.33,"[8, 10, 13, 16]",4.0,24,9,0,22,2,0,0,0,0,0,1,5.5,0,0,0,0,0,30,13,0,43,34,True,True,False,Right-arm offbreak,Right-hand bat
Comilla Victorians,Ariful Haque,ad1730bc,7,13,13,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17,32,True,False,True,Right-arm medium-fast,Right-hand bat
Comilla Victorians,Mashrafe Mortaza,e186f49c,8,25,26,0,2,96.15,"[1, 3, 5, 20]",3.333,20,11,0,23,4,0,1,0,0,0,1,6.9,0,0,0,0,0,41,38,0,79,41,True,False,False,Right-arm fast-medium,Right-hand bat
Comilla Victorians,K Santokie,531f0278,9,21,16,3,0,131.25,"[2, 15, 18]",3.0,18,6,0,16,1,0,0,0,0,0,1,5.33,0,0,0,0,2,35,10,0,45,40,True,False,False,Left-arm medium,Left-hand bat
Comilla Victorians,SP Narine,9d430b40,10,0,1,0,0,0.0,"[4, 6, 12, 14]",4.0,24,12,0,24,2,1,1,1,0,0,1,6.0,1,0,0,0,0,0,47,8,55,36,True,False,True,Right-arm offbreak,Left-hand bat
Dhaka Dynamites,Shamsur Rahman,02789d88,1,19,17,3,0,111.76,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,31,0,0,31,36,True,False,False,,Right-hand bat
Dhaka Dynamites,Nasir Jamshed,4c4a06fb,2,44,44,8,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,80,0,0,80,35,True,False,False,,Left-hand bat
