Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Hampshire,MA Carberry,8305580c,1,13,11,2,0,118.18,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,21,0,0,21,44,True,False,False,Right-arm offbreak,Left-hand bat
Hampshire,JM Vince,a15618fe,2,69,60,9,0,115.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,113,0,0,113,34,True,False,False,Right-arm medium,Right-hand bat
Hampshire,AJA Wheater,71647ced,3,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2,35,True,False,False,,Right-hand bat
Hampshire,OA Shah,7bf96684,4,12,10,2,0,120.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,20,0,0,20,46,True,False,False,Right-arm offbreak,Right-hand bat
Hampshire,SM Ervine,556302a7,5,4,5,0,0,80.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,4,0,8,12,42,True,False,True,Right-arm offbreak,Left-hand bat
Hampshire,LA Dawson,4a461c24,6,3,7,0,0,42.86,"[7, 9, 11, 14]",4.0,24,13,1,19,2,0,0,0,0,0,1,4.75,1,0,0,0,0,3,31,8,42,35,True,False,True,Slow left-arm orthodox,Right-hand bat
Hampshire,WR Smith,ad962377,7,2,11,0,0,18.18,"[13, 15, 17]",3.0,18,7,0,15,0,0,1,0,0,0,0,5.0,0,0,0,0,-6,-4,36,0,32,42,True,False,False,Right-arm offbreak,Right-hand bat
Hampshire,CP Wood,1cfac535,8,2,5,0,0,40.0,"[1, 3, 19]",2.833,17,8,0,27,2,2,0,0,0,0,0,9.53,0,0,0,0,0,2,8,0,10,34,True,False,False,Left-arm medium-fast,Right-hand bat
Hampshire,Yasir Arafat,3cf5ae43,9,0,1,0,0,0.0,"[5, 18]",2.0,12,1,0,15,1,0,0,0,0,0,0,7.5,0,0,0,0,0,-2,1,0,-1,43,True,False,True,Right-arm fast-medium,Right-hand bat
Hampshire,DR Briggs,f3abd0c9,10,5,7,0,0,71.43,"[8, 10, 12, 16]",4.0,24,8,0,19,1,0,2,1,0,0,0,4.75,0,0,0,0,0,5,72,0,77,33,True,False,False,Slow left-arm orthodox,Right-hand bat
Hampshire,FH Edwards,a7c226e1,11,0,1,0,0,0.0,"[2, 4, 6]",3.0,18,5,0,24,2,0,1,0,1,2,0,8.0,0,0,0,0,0,-2,38,0,36,43,True,False,False,Right-arm fast,Right-hand bat
Lancashire,AG Prince,035cb925,1,14,10,2,0,140.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,24,0,8,32,47,True,False,False,Right-arm offbreak,Left-hand bat
Lancashire,AL Davies,29ede60b,2,18,16,1,0,112.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22,0,0,22,30,True,False,False,,Right-hand bat
Lancashire,KR Brown,818c9e0d,3,45,43,4,0,104.65,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,65,0,0,65,36,True,False,False,Right-arm medium,Right-hand bat
Lancashire,SJ Croft,ab474682,4,9,20,0,0,45.0,"[1, 15]",2.0,12,4,0,16,2,0,0,0,0,0,0,8.0,0,0,0,0,-6,3,4,0,7,40,True,False,True,Right-arm offbreak,Right-hand bat
Lancashire,JC Buttler,99b75528,5,10,10,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,14,0,16,30,34,True,False,False,,Right-hand bat
Lancashire,LS Livingstone,50c6bc2b,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,31,True,False,True,Legbreak,Right-hand bat
Lancashire,JP Faulkner,808f425a,6,20,14,0,2,142.86,"[4, 16, 18, 20]",3.833,23,8,0,29,4,0,3,0,1,0,1,7.57,1,0,0,0,2,34,95,8,137,34,True,False,True,Left-arm fast-medium,Right-hand bat
Lancashire,AM Lilley,88a004e9,7,0,0,0,0,0.0,"[10, 12, 14, 17]",4.0,24,12,0,11,0,0,2,0,2,0,0,2.75,0,0,0,0,0,0,84,0,84,33,True,False,True,Right-arm offbreak,Right-hand bat
Lancashire,SD Parry,fdb8ed0d,8,0,0,0,0,0.0,"[7, 9, 11, 13]",4.0,24,9,0,21,2,0,3,2,1,0,0,5.25,0,0,0,0,0,0,116,0,116,39,True,False,False,Slow left-arm orthodox,Right-hand bat
Lancashire,GT Griffiths,79c7041c,9,0,0,0,0,0.0,"[2, 5, 8]",3.0,18,7,1,21,3,0,0,0,0,0,1,7.0,0,0,0,0,0,0,21,0,21,31,True,False,False,Right-arm fast-medium,Right-hand bat
Lancashire,GA Edwards,45966141,10,0,0,0,0,0.0,"[3, 6, 19]",3.0,18,11,0,16,2,0,2,0,0,0,2,5.33,0,0,0,0,0,0,65,0,65,32,True,True,False,Right-arm fast-medium,Right-hand bat
