Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Bangladesh,Mohammad Naim,7923a51d,1,17,19,2,0,89.47,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,25,0,8,33,25,True,False,False,,Left-hand bat
Bangladesh,Shakib Al Hasan,7dc35884,2,9,12,1,0,75.0,"[10, 12, 14, 16]",4.0,24,6,0,28,0,2,0,0,0,0,2,7.0,0,0,0,0,0,13,8,0,21,38,True,False,True,Slow left-arm orthodox,Left-hand bat
Bangladesh,Liton Das,0404d43c,3,44,43,4,0,102.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64,0,0,64,30,True,True,False,Right-arm offbreak,Right-hand bat
Bangladesh,Soumya Sarkar,4d9f9686,4,17,13,2,0,130.77,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,27,0,16,43,32,True,False,True,Right-arm medium-fast,Left-hand bat
Bangladesh,Mushfiqur Rahim,a94e08ea,5,8,7,1,0,114.29,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,12,0,8,20,37,True,False,False,,Right-hand bat
Bangladesh,Mahmudullah,bf1d7d3e,6,31,24,2,1,129.17,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,49,0,0,49,39,True,False,True,Right-arm offbreak,Right-hand bat
Bangladesh,Mahedi Hasan,9dad0f2e,7,0,0,0,0,0.0,"[1, 5, 7, 18]",4.0,24,8,0,27,0,2,2,0,1,0,2,6.75,0,0,0,0,0,0,68,0,68,30,True,False,True,Right-arm offbreak,Right-hand bat
Bangladesh,Afif Hossain,37138918,7,2,2,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2,25,True,False,True,Right-arm offbreak,Left-hand bat
Bangladesh,Shoriful Islam,bb34fd31,8,0,0,0,0,0.0,"[6, 9, 17, 19]",4.0,24,10,0,20,1,0,2,0,1,0,1,5.0,0,0,0,0,0,0,72,0,72,23,True,False,False,Left-arm fast-medium,Left-hand bat
Bangladesh,Taskin Ahmed,ef18b66e,9,0,0,0,0,0.0,"[2, 4, 8, 13]",4.0,24,11,0,17,1,0,0,0,0,0,0,4.25,0,0,1,0,0,0,17,12,29,29,True,False,False,Right-arm fast,Left-hand bat
Bangladesh,Mustafizur Rahman,0a8fce53,10,0,0,0,0,0.0,"[3, 11, 15, 20]",4.0,24,7,0,43,3,3,2,0,0,0,2,10.75,0,0,0,0,0,0,55,0,55,29,True,False,False,Left-arm fast-medium,Left-hand bat
West Indies,CH Gayle,db584dad,1,4,10,0,0,40.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,-6,-2,0,8,6,45,True,False,True,Right-arm offbreak,Left-hand bat
West Indies,E Lewis,0ebfb1ad,2,6,9,1,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10,33,True,False,False,,Left-hand bat
West Indies,RL Chase,3feda4fa,3,39,46,2,0,84.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,51,0,0,51,33,True,False,True,Right-arm offbreak,Right-hand bat
West Indies,SO Hetmyer,48a1d7b7,4,9,7,1,0,128.57,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,0,0,13,28,True,False,False,,Left-hand bat
West Indies,KA Pollard,a757b0d8,5,14,18,0,1,77.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,20,0,0,20,37,True,False,True,Right-arm medium,Right-hand bat
West Indies,AD Russell,bbd41817,6,0,0,0,0,0.0,"[5, 8, 15, 20]",4.0,24,8,0,29,3,0,1,0,0,0,0,7.25,0,0,0,0,0,0,33,0,33,36,True,False,True,Right-arm fast,Right-hand bat
West Indies,N Pooran,3241e3fd,7,40,22,1,4,181.82,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,78,0,0,78,29,True,True,False,Right-arm offbreak,Left-hand bat
West Indies,AJ Hosein,4d7f517e,7,0,0,0,0,0.0,"[7, 9, 11, 13]",4.0,24,6,0,24,2,0,1,0,0,0,0,6.0,0,0,0,0,0,0,33,0,33,31,True,False,False,Slow left-arm orthodox,Left-hand bat
West Indies,DJ Bravo,87e562a9,8,1,3,0,0,33.33,"[10, 12, 17, 19]",4.0,24,8,0,36,2,1,1,0,0,0,6,9.0,0,0,0,0,0,1,33,0,34,41,True,False,True,Right-arm medium,Right-hand bat
West Indies,R Rampaul,d68e7f48,8,0,0,0,0,0.0,"[1, 3, 14, 18]",4.0,24,7,0,25,3,0,1,0,1,0,0,6.25,0,0,0,0,0,0,42,0,42,40,True,False,False,Right-arm fast-medium,Left-hand bat
West Indies,JO Holder,0f721006,9,15,5,0,2,300.0,"[2, 4, 6, 16]",4.0,24,10,0,22,2,0,1,0,1,0,2,5.5,2,0,0,0,0,27,47,16,90,33,True,False,True,Right-arm medium-fast,Right-hand bat
