Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Bangladesh,Mohammad Naim,7923a51d,1,19,13,1,2,146.15,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,37,0,0,37,25,True,False,False,,Left-hand bat
Bangladesh,Soumya Sarkar,4d9f9686,2,10,4,2,0,250.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,18,0,8,26,32,True,False,True,Right-arm medium-fast,Left-hand bat
Bangladesh,Liton Das,0404d43c,3,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2,30,True,True,False,Right-arm offbreak,Right-hand bat
Bangladesh,Nazmul Hossain Shanto,1274d7ab,4,8,6,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12,26,True,False,False,Right-arm offbreak,Left-hand bat
Bangladesh,Afif Hossain,37138918,5,8,6,0,1,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,14,0,8,22,25,True,False,True,Right-arm offbreak,Left-hand bat
Bangladesh,Mosaddek Hossain,8919756f,6,13,8,0,1,162.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19,29,True,False,True,Right-arm offbreak,Right-hand bat
Bangladesh,Mahedi Hasan,9dad0f2e,7,0,2,0,0,0.0,"[6, 8]",2.0,12,2,0,34,3,3,1,0,0,0,0,17.0,0,0,0,0,0,-2,21,0,19,30,True,False,True,Right-arm offbreak,Right-hand bat
Bangladesh,Shoriful Islam,bb34fd31,8,6,3,0,1,200.0,"[4, 9]",2.0,12,3,0,21,3,0,1,0,0,0,1,10.5,0,0,0,0,0,12,26,0,38,23,True,False,False,Left-arm fast-medium,Left-hand bat
Bangladesh,Taskin Ahmed,ef18b66e,9,5,4,1,0,125.0,"[2, 10]",2.0,12,4,0,24,1,2,1,0,0,0,0,12.0,0,0,0,0,0,9,25,0,34,29,True,False,False,Right-arm fast,Left-hand bat
Bangladesh,Rubel Hossain,f56cd097,10,3,6,0,0,50.0,"[5, 7]",2.0,12,1,0,33,2,3,0,0,0,0,0,16.5,0,0,0,0,0,3,-5,0,-2,35,True,False,False,Right-arm fast,Right-hand bat
Bangladesh,Nasum Ahmed,37654b75,11,3,4,0,0,75.0,"[1, 3]",2.0,12,3,0,29,3,2,0,0,0,0,0,14.5,0,0,0,0,0,3,-3,0,0,30,True,False,True,Slow left-arm orthodox,Left-hand bat
New Zealand,MJ Guptill,2be41edb,1,44,19,1,5,231.58,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,88,0,0,88,38,True,False,False,Right-arm offbreak,Right-hand bat
New Zealand,FH Allen,bf74b130,2,71,29,10,3,244.83,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,143,0,0,143,25,True,False,False,,Right-hand bat
New Zealand,GD Phillips,9a46c4e5,3,14,6,0,2,233.33,"[5, 10]",1.5,9,4,0,11,0,1,1,0,0,0,0,7.33,1,0,0,0,0,26,29,8,63,28,True,False,True,Right-arm offbreak,Right-hand bat
New Zealand,DJ Mitchell,eade4650,4,11,6,1,0,183.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,15,0,0,15,33,True,False,True,Right-arm medium,Right-hand bat
New Zealand,MS Chapman,7fa12533,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8,30,True,False,True,Slow left-arm orthodox,Left-hand bat
New Zealand,DP Conway,df5a6881,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,12,12,33,True,True,False,Right-arm medium,Left-hand bat
New Zealand,WA Young,8afe73e2,12,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8,32,True,False,False,Right-arm offbreak,Right-hand bat
New Zealand,TG Southee,13c35c9e,13,0,0,0,0,0.0,"[1, 9]",2.0,12,5,0,15,2,0,3,0,1,0,0,7.5,2,0,0,0,0,0,92,16,108,36,True,False,False,Right-arm medium-fast,Right-hand bat
New Zealand,AF Milne,350bb1b1,14,0,0,0,0,0.0,"[2, 7]",2.0,12,6,0,24,1,3,1,0,1,0,0,12.0,0,0,0,0,0,0,35,0,35,32,True,False,False,Right-arm fast,Right-hand bat
New Zealand,TD Astle,383dd431,15,0,0,0,0,0.0,"[4, 6]",2.0,12,8,0,13,1,1,4,0,1,0,0,6.5,0,0,0,0,0,0,126,0,126,38,True,False,False,Legbreak,Right-hand bat
New Zealand,LH Ferguson,2f9d0389,16,0,0,0,0,0.0,"[3, 8]",2.0,12,3,0,13,1,0,1,0,1,0,1,6.5,0,0,0,0,0,0,38,0,38,33,True,False,False,Right-arm fast,Right-hand bat
