Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Denmark,ND Laegsgaard,b0f2d3bd,1,21,18,1,1,116.67,"[2, 4]",2.0,12,8,0,5,0,0,2,0,1,0,0,2.5,2,0,0,0,0,31,72,16,119
Denmark,HAM Shah,007113d7,2,40,40,3,1,100.0,"[7, 9, 11]",3.0,18,8,0,22,0,2,1,0,0,0,1,7.33,0,0,0,0,0,62,33,0,95
Denmark,T Bharaj,49556abb,3,12,9,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,16,0,28,44
Denmark,Delawar Khan,28b99edd,4,17,8,0,2,212.5,"[1, 3]",2.0,12,6,0,14,2,0,0,0,0,0,2,7.0,1,0,0,0,0,29,8,8,45
Denmark,Anique Uddin,1f41b702,5,11,14,1,0,78.57,"[18, 20]",2.0,12,6,0,12,0,1,2,0,0,0,0,6.0,0,0,0,0,0,15,58,0,73
Denmark,Rizwan Mahmood,56e771ef,6,23,23,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,27,0,0,27
Denmark,OD Hald,38189be1,7,0,2,0,0,0.0,"[6, 8, 19]",3.0,18,12,0,10,1,0,1,0,0,0,0,3.33,0,0,0,0,0,-2,43,0,41
Denmark,Zishan Shah,432bf4f5,8,8,6,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12
Denmark,Abdul Hashim,73b1db79,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
Denmark,J Jojo,d981a1de,12,0,0,0,0,0.0,"[5, 13, 15, 17]",4.0,24,10,0,21,2,0,0,0,0,0,0,5.25,0,0,0,0,0,0,14,0,14
Denmark,SA Ahmad,8de618ab,13,0,0,0,0,0.0,"[10, 12, 14, 16]",4.0,24,17,1,9,0,0,3,0,1,0,1,2.25,1,0,0,0,0,0,122,8,130
Norway,Raza Iqbal,eee46f77,1,19,19,3,0,100.0,"[10, 12, 15, 17]",4.0,24,7,0,27,0,1,2,0,0,0,0,6.75,0,0,0,0,0,31,59,0,90
Norway,E Ul Haq,3559290a,2,1,3,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
Norway,Walid Ghauri,331e137f,3,6,11,1,0,54.55,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,6,0,0,6
Norway,Ansar Iqbal,9a08a863,4,1,6,0,0,16.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
Norway,Tafseer Ali,b9c3ffcd,5,5,16,0,0,31.25,[18],1.0,6,0,0,10,1,0,0,0,0,0,0,10.0,0,0,0,0,-6,-1,0,0,-1
Norway,Hayatullah Niazi,877ad201,6,27,23,0,2,117.39,"[5, 14, 16, 20]",4.0,24,8,0,23,3,0,1,0,1,0,0,5.75,0,0,0,0,0,43,45,0,88
Norway,Khizer Ahmed,723ca856,7,1,7,0,0,14.29,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,0,12,13
Norway,Abdullah Sheikh,336a85f6,8,11,16,1,0,68.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,13,0,0,13
Norway,S Waqas Ahmed,fb27d38c,9,8,11,0,0,72.73,"[7, 9, 11]",3.0,18,4,0,24,2,0,2,0,0,0,3,8.0,0,0,0,0,0,8,54,0,62
Norway,Junaid Sheikh,c01852c6,10,9,6,0,1,150.0,"[2, 4, 6, 19]",4.0,24,10,0,24,2,0,0,0,0,0,2,6.0,2,0,0,0,0,15,12,16,43
Norway,P Bhart,0daf3ffc,11,1,2,0,0,50.0,"[1, 3, 8, 13]",4.0,24,10,0,29,0,3,2,0,1,0,0,7.25,0,0,0,0,0,1,68,0,69
