Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Durham,DJM Short,1a156c88,1,46,40,6,0,115.0,"[8, 10, 12, 14]",4.0,24,7,0,19,0,0,2,0,0,0,0,4.75,1,0,0,0,0,74,63,8,145,34,True,False,False,Left-arm wrist-spin,Left-hand bat
Durham,S Steel,de6c2c6e,2,37,36,1,1,102.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,51,0,0,51,25,True,False,False,Right-arm offbreak,Right-hand bat
Durham,G Clark,4fd09cfc,3,17,17,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,21,0,0,21,32,True,False,False,Legbreak,Right-hand bat
Durham,BA Raine,4c0f3806,4,13,8,2,0,162.5,"[5, 7]",2.0,12,3,0,23,1,2,1,0,0,0,1,11.5,0,0,0,0,0,21,24,0,45,33,True,False,True,Right-arm medium-fast,Left-hand bat
Durham,L Trevaskis,b5781ac3,5,7,9,0,0,77.78,"[9, 11, 13]",3.0,18,5,0,25,2,1,1,0,1,0,1,8.33,0,0,0,0,0,7,38,0,45,25,True,False,False,Slow left-arm orthodox,Left-hand bat
Durham,SW Poynter,cdf59953,6,19,10,1,0,190.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,29,0,8,37,34,True,False,False,,Right-hand bat
Durham,AZ Lees,c9c0fe50,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8,31,True,False,False,Legbreak,Left-hand bat
Durham,JTA Burnham,a4a2a0c0,12,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,28,28,28,True,False,False,Right-arm medium,Right-hand bat
Durham,BA Carse,cad40f5e,13,0,0,0,0,0.0,"[1, 3, 16, 18]",4.0,24,7,0,35,5,0,1,0,0,0,1,8.75,0,0,0,0,0,0,32,0,32,29,True,False,True,Right-arm fast,Right-hand bat
Durham,MJ Potts,894b2d25,14,0,0,0,0,0.0,"[2, 4, 20]",3.0,18,13,0,11,1,0,2,0,1,0,3,3.67,0,0,0,0,0,0,77,0,77,26,True,False,False,Right-arm fast-medium,Right-hand bat
Durham,NJ Rimmington,6042bf26,15,0,0,0,0,0.0,"[6, 15, 17, 19]",4.0,24,10,0,25,2,0,1,0,0,0,2,6.25,0,0,0,0,0,0,37,0,37,42,True,False,False,Right-arm fast-medium,Right-hand bat
Northamptonshire,CO Thurston,2964e311,1,3,9,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,3,0,8,11,28,True,False,False,Right-arm medium,Right-hand bat
Northamptonshire,AM Rossington,7bcde3fe,2,47,31,5,2,151.61,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,87,0,0,87,31,True,False,False,,Right-hand bat
Northamptonshire,JJ Cobb,58c481c6,3,1,3,0,0,33.33,"[1, 10, 12, 14]",4.0,24,6,0,21,0,1,0,0,0,0,1,5.25,0,0,0,0,0,1,10,0,11,34,True,False,True,Right-arm offbreak,Right-hand bat
Northamptonshire,MT Coles,e9d5218e,4,2,6,0,0,33.33,"[4, 9]",2.0,12,4,0,11,0,0,0,0,0,0,0,5.5,2,0,0,0,0,2,8,16,26,34,True,False,True,Right-arm fast-medium,Left-hand bat
Northamptonshire,AG Wakely,730d120f,5,8,11,0,0,72.73,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8,36,True,False,False,Right-arm medium-fast,Right-hand bat
Northamptonshire,D Pretorius,11614d87,6,19,16,1,1,118.75,"[6, 8]",2.0,12,3,0,15,2,0,0,0,0,0,0,7.5,0,0,0,0,0,29,3,0,32,36,True,False,True,Right-arm medium-fast,Right-hand bat
Northamptonshire,RI Keogh,e22d3b5c,7,30,22,2,0,136.36,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,44,0,0,44,33,True,False,True,Right-arm offbreak,Right-hand bat
Northamptonshire,Faheem Ashraf,bd4ea627,8,1,4,0,0,25.0,"[3, 5, 17, 19]",4.0,24,10,0,29,3,0,1,0,1,2,0,7.25,0,0,0,0,0,1,43,0,44,31,True,False,True,Right-arm medium,Left-hand bat
Northamptonshire,TB Sole,98e908bd,9,7,5,1,0,140.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11,28,True,False,True,Right-arm offbreak,Right-hand bat
Northamptonshire,GG White,0f21680d,10,11,11,2,0,100.0,"[7, 11, 13, 15]",4.0,24,6,0,36,3,0,2,0,0,0,1,9.0,0,0,0,0,0,19,56,0,75,37,True,False,False,Slow left-arm orthodox,Right-hand bat
Northamptonshire,BW Sanderson,e871a7a1,11,1,2,0,0,50.0,"[2, 16, 18, 20]",4.0,24,6,0,31,3,0,1,0,0,0,0,7.75,0,0,0,0,0,1,31,0,32,36,True,False,False,Right-arm medium-fast,Right-hand bat
