Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Gibraltar,BAA Zammitt,0e102c3b,1,0,6,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
Gibraltar,L Bruce,2a03bd2f,2,58,53,7,1,109.43,"[2, 4, 6, 14]",4.0,24,12,0,17,1,0,1,0,0,0,1,4.25,0,0,0,0,0,100,43,0,143
Gibraltar,JD Freyone,7cd7eb50,3,6,11,1,0,54.55,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,-4,6,0,6,12
Gibraltar,IDM Latin,78f719ea,4,7,16,0,0,43.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,-6,1,0,12,13
Gibraltar,KJ Stagno,46ad7e01,5,10,10,0,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,16,0,14,30
Gibraltar,K Nestor,b89cde87,6,4,9,0,0,44.44,"[1, 3, 5, 16]",4.0,24,7,0,45,5,2,2,0,2,0,1,11.25,0,0,0,0,0,4,69,0,73
Gibraltar,JA Fitzgerald,4e6ff836,7,25,15,3,1,166.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,51,0,0,51
Gibraltar,RJ Hatchman,01c05b6c,11,0,0,0,0,0.0,"[8, 10, 12]",3.0,18,5,0,31,3,1,1,0,0,0,3,10.33,0,0,0,0,0,0,28,0,28
Gibraltar,A Reyes,fd2b8c06,12,0,0,0,0,0.0,"[7, 9, 11]",3.0,18,10,0,10,0,0,2,0,2,0,1,3.33,0,0,0,0,0,0,82,0,82
Gibraltar,N Advani,e4f6147b,13,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
Gibraltar,K Mirpuri,441006af,14,0,0,0,0,0.0,"[13, 15, 17]",2.833,17,8,0,26,3,1,1,0,1,0,2,9.18,0,0,0,0,0,0,41,0,41
Portugal,Kuldeep,61c48027,1,14,6,3,0,233.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,26,0,20,46
Portugal,ARA Chambers,8db27a28,2,15,20,1,0,75.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19
Portugal,M Machado,fd34bcb0,3,4,2,1,0,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
Portugal,Azhar Andani,b5bd99da,4,8,14,0,0,57.14,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,4,0,0,4
Portugal,Amir Zaib,973006cc,5,7,8,1,0,87.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
Portugal,Najjam Shahzad,58aa33cd,6,19,13,2,1,146.15,"[2, 4, 20]",3.0,18,6,0,28,3,1,1,1,0,0,2,9.33,0,0,0,0,2,35,39,0,74
Portugal,F Stoman,69e53eb3,7,8,5,1,0,160.0,"[8, 10, 12, 19]",4.0,24,12,0,27,3,1,0,0,0,0,1,6.75,1,0,0,0,0,12,14,8,34
Portugal,Sirajullah Khadim,ff36e706,8,5,10,0,0,50.0,"[5, 7, 9, 11]",4.0,24,14,0,22,2,1,2,0,0,0,0,5.5,0,0,0,0,-4,1,68,0,69
Portugal,Suman Ghimire,7d990412,9,27,13,2,2,207.69,"[13, 15, 17]",3.0,18,7,0,19,2,0,1,0,1,0,1,6.33,0,0,0,0,6,57,42,0,99
Portugal,Zohaib Sarwar,bd3cecc6,10,0,4,0,0,0.0,"[14, 16]",2.0,12,4,0,14,1,0,1,0,0,0,2,7.0,0,0,0,0,0,-2,31,0,29
Portugal,Junaid Khan,be0077ba,11,14,6,1,1,233.33,"[1, 3, 6, 18]",4.0,24,18,0,7,0,0,0,0,0,0,1,1.75,0,0,0,0,0,24,24,0,48
